#Ejercicio,Org.,Econ.,Denominació,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2018,,302    ,TAXA RECOLLIDA BROSSA COMERCIAL                   ,70700,0,70700,67618.86
2018,,30901  ,VIGILÀNCIA ESPECIAL                               ,15000,0,15000,25842.4
2018,,311    ,RESIDÈNCIA D'AVIS                                 ,160000,0,160000,178254.4
2018,,31101  ,TAXA PRESTACIO SERVEIS SOCIALS                    ,5000,0,5000,34334.27
2018,,312    ,ESCOLA BRESSOL                                    ,190000,0,190000,204928.09
2018,,31301  ,CURSETS I ACTIVITATS ESPORTIVES                   ,227250,0,227250,275189.19
2018,,31302  ,INSTAL.LACIONS ESPORTIVES                         ,40400,0,40400,30192.59
2018,,31303  ,SERVEIS ESPORTIUS                                 ,2272500,0,2272500,2276870.24
2018,,31905  ,CONTROL SANITARI GOSSOS                           ,21210,0,21210,28973
2018,,321    ,TAXA LLICÈNCIES D'OBRES                           ,400000,0,400000,522149.02
2018,,323    ,TAXA PERMISOS AMBIENTALS                          ,400000,0,400000,214753.51
2018,,325    ,EXPEDICIÓ DE DOCUMENTS                            ,27270,0,27270,50660.7
2018,,326    ,RETIRADA DE VEHICLES                              ,80000,0,80000,268806.64
2018,,32901  ,MERCAT MUNICIPAL                                  ,32000,0,32000,29044.02
2018,,32902  ,CONTROL SANITARI D'ESTABLIMENTS                   ,1010,0,1010,1079
2018,,331    ,TAXES GUALS                                       ,575700,0,575700,663810.92
2018,,332    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP SUBMINISTRA,635000,0,635000,1324859.5
2018,,333    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP TELECOMUNIC,17000,0,17000,12110.04
2018,,335    ,TAXES VETLLADORS I CADIRES                        ,146450,0,146450,161498.65
2018,,338    ,TAXA COMPENSACIÓ TELEFÒNICA ESPAÑA                ,205000,0,205000,216061.99
2018,,339    ,ALTRES UTILITZACIONS PRIVATIVES DEL DOMINI PUBLIC ,134330,0,134330,136640.02
2018,,33901  ,TAXES QUIOSCOS                                    ,65650,0,65650,110019.15
2018,,33902  ,TAXES PARADES A LA VIA PÚBLICA                    ,46460,0,46460,41559.43
2018,,34901  ,HORTS LÚDICS                                      ,15150,0,15150,16271
2018,,34902  ,SERVEIS CULTURALS                                 ,1010,0,1010,0
2018,,34903  ,SERVEIS CULTURALS TEATRE MODERN                   ,6,48281.5,48287.5,48239.5
2018,,34904  ,SERVEIS PROMOCIO ECONOMICA                        ,3030,0,3030,8404.01
2018,,34905  ,SERVEIS/ACTIVITATS MEDI AMBIENT (ACTIVITATS)      ,39390,0,39390,38330
2018,,36000  ,VENDA MATERIAL REBUTJABLE                         ,3000,0,3000,3860.76
2018,,36001  ,VENDA DE PUBLICACIONS                             ,100,0,100,1171.9
2018,,36002  ,VENDA D'ELECTRICITAT                              ,45000,0,45000,43252.24
2018,,36003  ,"PRESTACIO SERVEIS MEDI AMBIENT (PAPER, VIDRE, CART",330000,0,330000,428446.88
2018,,389    ,REINTEGRAMENTS PRESSUPOSTOS TANCATS               ,5000,0,5000,45090.15
2018,,38901  ,REINTEGRAMENTS ANUNCIS                            ,5000,0,5000,10239.25
2018,,39100  ,MULTES INFRACCIONS URBANISTIQUES                  ,10000,0,10000,10500
2018,,39120  ,MULTES CIRCULACIÓ                                 ,500000,0,500000,2642717
2018,,39190  ,ALTRES MULTES I SANCIONS                          ,50000,0,50000,161181.58
2018,,39200  ,RECÀRREC DECLARACIO EXTEMPORANEA                  ,7000,0,7000,1426.75
2018,,39211  ,RECÀRREC CONSTRENYIMENT                           ,36000,0,36000,60365.13
2018,,393    ,INTERESSOS DE DEMORA                              ,55000,0,55000,88760.56
2018,,398    ,INDEMNITZACIONS D'ASSEGURANCES NO VIDA            ,90000,0,90000,25695.19
2018,,399    ,ALTRES INGRESOS DIVERSOS                          ,100000,0,100000,118262.73
2018,,39901  ,ALTRES INGRESOS EXECUCIONS SUBSIDIÀRIES           ,6,37519.77,37525.77,48448.61
2018,,42000  ,PARTICIPACIÓ EN TRIBUTS DE L'ESTAT                ,14952912,0,14952912,14544101.13
2018,,45000  ,FONS COOPERACIÓ LOCAL CATALUNYA                   ,387634,0,387634,388409.84
2018,,45001  ,ALTRES TRANSFERÈNCIES DE LA GENERALITAT           ,34500,11937.76,46437.76,165387.85
2018,,45002  ,SUBV. GENERALITAT SERVEIS SOCIALS/IGUALTAT        ,2222799,0,2222799,2105240.01
2018,,45030  ,SUBV. GENERALITAT EDUCACIÓ                        ,1000,0,1000,80790.2
2018,,45050  ,SUBV. GENERALITAT OCUPACIÓ-DESENVOLUPAMENT LOCAL  ,6,1198575.65,1198581.65,1244823.09
2018,,450801 ,SUBV. GENERALITAT SANITAT-CONSUM                  ,1000,0,1000,0
2018,,450802 ,SUBVENCIONS GENERALITAT CULTURA-JOVENTUT          ,1800,0,1800,72400
2018,,450803 ,SUBVENCIONS GENERALITAT TURISME                   ,56732,0,56732,134115.12
2018,,45300  ,"DE SOCIETATS, ENS PUBLICS I ALTRES DEPENENTS CCAA ",10000,0,10000,9135
2018,,46100  ,SUBVENCIONS DIPUTACIO                             ,10000,198158.9,208158.9,109206
2018,,46101  ,SUBV. DIPUTACIÓ FORMACIÓ-OCUPACIÓ                 ,6,264476.6,264482.6,443085.3
2018,,481    ,DE INSTITUCIONS SENSE ÀNIM DE LUCRE               ,0,0,0,3000
