#Ejercicio,Org.,Econ.,Denominació,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2018,     ,116    ,IMPOST INCREMENT VALOR DEL TERRENYS               ,2857485,0,2857485,352744.87
2018,     ,130    ,IMPOST ACTIVITATS ECONÒMIQUES                     ,7500000,0,7500000,0
2018,     ,290    ,"IMPOST CONSTRUCCIONS,INSTAL-LACIONS I OBRES       ",600000,0,600000,167038.8
2018,     ,302    ,TAXA RECOLLIDA BROSSA COMERCIAL                   ,70700,0,70700,0
2018,     ,30901  ,VIGILÀNCIA ESPECIAL                               ,15000,0,15000,6681.6
2018,     ,311    ,RESIDÈNCIA D'AVIS                                 ,160000,0,160000,14706.67
2018,     ,31101  ,TAXA PRESTACIO SERVEIS SOCIALS                    ,5000,0,5000,0
2018,     ,312    ,ESCOLA BRESSOL                                    ,190000,0,190000,19316.56
2018,     ,31301  ,CURSETS I ACTIVITATS ESPORTIVES                   ,227250,0,227250,0
2018,     ,31302  ,INSTAL.LACIONS ESPORTIVES                         ,40400,0,40400,747.5
2018,     ,31303  ,SERVEIS ESPORTIUS                                 ,2272500,0,2272500,0
2018,     ,31905  ,CONTROL SANITARI GOSSOS                           ,21210,0,21210,102
2018,     ,321    ,TAXA LLICÈNCIES D'OBRES                           ,400000,0,400000,2206.37
2018,     ,323    ,TAXA PERMISOS AMBIENTALS                          ,400000,0,400000,27397.4
2018,     ,325    ,EXPEDICIÓ DE DOCUMENTS                            ,27270,0,27270,4972
2018,     ,326    ,RETIRADA DE VEHICLES                              ,80000,0,80000,0
2018,     ,32901  ,MERCAT MUNICIPAL                                  ,32000,0,32000,0
2018,     ,32902  ,CONTROL SANITARI D'ESTABLIMENTS                   ,1010,0,1010,0
2018,     ,331    ,TAXES GUALS                                       ,575700,0,575700,1941.6
2018,     ,332    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP SUBMINISTRA,635000,0,635000,0
2018,     ,333    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP TELECOMUNIC,17000,0,17000,0
2018,     ,335    ,TAXES VETLLADORS I CADIRES                        ,146450,0,146450,73868.15
2018,     ,338    ,TAXA COMPENSACIÓ TELEFÒNICA ESPAÑA                ,205000,0,205000,0
2018,     ,339    ,ALTRES UTILITZACIONS PRIVATIVES DEL DOMINI PUBLIC ,134330,0,134330,1486
2018,     ,33901  ,TAXES QUIOSCOS                                    ,65650,0,65650,0
2018,     ,33902  ,TAXES PARADES A LA VIA PÚBLICA                    ,46460,0,46460,-1974
2018,     ,34901  ,HORTS LÚDICS                                      ,15150,0,15150,954
2018,     ,34902  ,SERVEIS CULTURALS                                 ,1010,0,1010,0
2018,     ,34903  ,SERVEIS CULTURALS TEATRE MODERN                   ,6,0,6,0
2018,     ,34904  ,SERVEIS PROMOCIO ECONOMICA                        ,3030,0,3030,0
2018,     ,34905  ,SERVEIS/ACTIVITATS MEDI AMBIENT (ACTIVITATS)      ,39390,0,39390,0
2018,     ,36000  ,VENDA MATERIAL REBUTJABLE                         ,3000,0,3000,0
2018,     ,36001  ,VENDA DE PUBLICACIONS                             ,100,0,100,0
2018,     ,36002  ,VENDA D'ELECTRICITAT                              ,45000,0,45000,3182.13
2018,     ,36003  ,"PRESTACIO SERVEIS MEDI AMBIENT (PAPER, VIDRE, CART",330000,0,330000,20843.64
2018,     ,389    ,REINTEGRAMENTS PRESSUPOSTOS TANCATS               ,5000,0,5000,442.31
2018,     ,38901  ,REINTEGRAMENTS ANUNCIS                            ,5000,0,5000,416.08
2018,     ,39100  ,MULTES INFRACCIONS URBANISTIQUES                  ,10000,0,10000,3000
2018,     ,39120  ,MULTES CIRCULACIÓ                                 ,500000,0,500000,120
2018,     ,39190  ,ALTRES MULTES I SANCIONS                          ,50000,0,50000,13881.7
2018,     ,39200  ,RECÀRREC DECLARACIO EXTEMPORANEA                  ,7000,0,7000,0
2018,     ,39211  ,RECÀRREC CONSTRENYIMENT                           ,36000,0,36000,0
2018,     ,393    ,INTERESSOS DE DEMORA                              ,55000,0,55000,6216.24
2018,     ,398    ,INDEMNITZACIONS D'ASSEGURANCES NO VIDA            ,90000,0,90000,132
2018,     ,399    ,ALTRES INGRESOS DIVERSOS                          ,100000,0,100000,300.95
2018,     ,39901  ,ALTRES INGRESOS EXECUCIONS SUBSIDIÀRIES           ,6,0,6,0
2018,     ,42000  ,PARTICIPACIÓ EN TRIBUTS DE L'ESTAT                ,14952912,0,14952912,0
2018,     ,45000  ,FONS COOPERACIÓ LOCAL CATALUNYA                   ,387634,0,387634,0
2018,     ,45001  ,ALTRES TRANSFERÈNCIES DE LA GENERALITAT           ,34500,0,34500,0
2018,     ,45002  ,SUBV. GENERALITAT SERVEIS SOCIALS/IGUALTAT        ,2222799,0,2222799,0
2018,     ,45030  ,SUBV. GENERALITAT EDUCACIÓ                        ,1000,0,1000,0
2018,     ,45050  ,SUBV. GENERALITAT OCUPACIÓ-DESENVOLUPAMENT LOCAL  ,6,0,6,0
2018,     ,450801 ,SUBV. GENERALITAT SANITAT-CONSUM                  ,1000,0,1000,0
2018,     ,450802 ,SUBVENCIONS GENERALITAT CULTURA-JOVENTUT          ,1800,0,1800,0
2018,     ,450803 ,SUBVENCIONS GENERALITAT TURISME                   ,56732,0,56732,0
2018,     ,45300  ,"DE SOCIETATS, ENS PUBLICS I ALTRES DEPENENTS CCAA ",10000,0,10000,0
2018,     ,46100  ,SUBVENCIONS DIPUTACIO                             ,10000,0,10000,0
2018,     ,46101  ,SUBV. DIPUTACIÓ FORMACIÓ-OCUPACIÓ                 ,6,0,6,0
