#Ejercicio,Org.,Econ.,Denominació,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2020,,464    ,TRANSFERENCIES CORRENTS D'AREAS METROPOLITANAS    ,0,0,0,15877.29
2020,,462    ,TRANSFERENCIES CORRENTS D'AJUNTAMENTS             ,6,0,6,18613.7
2020,,4641   ,TRANSFERENCIES CORRENTS D'AREA METROPOLITANA  FORM,6,107174.7,107180.7,212078.59
2020,,4642   ,TRANSFERENCIES CORRENTS D'AREA METROPOLITANA POBRE,60312,0,60312,0
2020,,4643   ,TRANSFERENCIES CORRENTS D'AREA METROPOLITANA      ,8000,0,8000,119428.44
2020,,465    ,TRANSFERENCIES CORRENTS ENS COMARCALS             ,6,40896.86,40902.86,43122.86
2020,,467    ,TRANSFERENCIES CORRENTS DE CONSORCIS              ,12000,0,12000,10406.57
2020,,470    ,SUBVENCIONS D'EMPRESES                            ,5000,15000,20000,25000
2020,,480    ,SUBVENCIONS FORMACIÓ I OCUPACIÓ                   ,6,0,6,0
2020,,490    ,SUBV. FONS SOCIAL EUROPEU                         ,6,0,6,0
2020,,514    ,INTERESSOS DE SOCIETATS MERCANTILS                ,190464,0,190464,186542.99
2020,,52     ,INTERESSOS DE DIPÓSITS                            ,50000,0,50000,27897
2020,,541    ,PRODUCTE ARRENDAMENTS IMMOBLES                    ,77725,0,77725,87560.57
2020,,550    ,CONCESSIONS ADMINISTRATIVES                       ,230000,0,230000,205016.75
2020,,559    ,ALTRES CONCESSIONS I APROFITAMENTS                ,16330,0,16330,20344.43
2020,,761    ,TRANSF CAPITAL DIPUTACIÓ DE BARCELONA             ,635266,0,635266,1186716.74
2020,,764    ,TRANSF CAPITAL AREA METROPOLITANA DE BARCELONA    ,1307515,0,1307515,45095.04
2020,,82120  ,REINTREGRAMENT PRESTECS SECTOR PUBLIC LOCAL       ,710552,0,710552,700025.48
2020,,830    ,BESTRETES REINTEGRABLES PERSONAL                  ,1000,15000,16000,15922.49
2020,,602    ,PARCELES SOBRANTS DE LA VIA PUBLICA               ,0,0,0,129339.53
2020,,87000  ,ROMANENT TRESORERIA DESPESES GENERALS             ,0,28445086.97,28445086.97,0
2020,,491    ,TRANSF CORRENTS DEL FONS DE DESENVOLUP REGIONAL   ,0,0,0,1089
