#Ejercicio,Org.,Econ.,Denominación (catalán),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2015,     ,339    ,ALTRES UTILITZACIONS PRIVATIVES DEL DOMINI PUBLIC ,200000,0,200000,66521.62
2015,     ,33901  ,TAXES QUIOSCOS                                    ,50000,0,50000,67749.19
2015,     ,33902  ,TAXES PARADES A LA VIA PÚBLICA                    ,40000,0,40000,54711.73
2015,     ,34901  ,HORTS LÚDICS                                      ,10300,0,10300,15645
2015,     ,34902  ,SERVEIS CULTURALS                                 ,2000,0,2000,4016.77
2015,     ,34903  ,SERVEIS CULTURALS TEATRE MODERN                   ,6,31080.98,31086.98,33860.41
2015,     ,34904  ,SERVEIS PROMOCIO ECONOMICA                        ,1500,0,1500,4818.62
2015,     ,34905  ,SERVEIS/ACTIVITATS MEDI AMBIENT (ACTIVITATS)      ,36000,0,36000,55106
2015,     ,36000  ,VENDA MATERIAL REBUTJABLE                         ,15000,0,15000,3008.76
2015,     ,36001  ,VENDA DE PUBLICACIONS                             ,100,0,100,364.98
2015,     ,36002  ,VENDA D'ELECTRICITAT                              ,25000,0,25000,51095.36
2015,     ,36003  ,"PRESTACIO SERVEIS MEDI AMBIENT (PAPER, VIDRE, CART",300000,0,300000,402189.75
2015,     ,389    ,REINTEGRAMENTS PRESSUPOSTOS TANCATS               ,5000,0,5000,17306.16
2015,     ,38901  ,REINTEGRAMENTS ANUNCIS                            ,5000,0,5000,11293.07
2015,     ,39100  ,MULTES INFRACCIONS URBANISTIQUES                  ,5000,0,5000,22400
2015,     ,39120  ,MULTES CIRCULACIÓ                                 ,400000,0,400000,1299270.84
2015,     ,39190  ,ALTRES MULTES I SANCIONS                          ,45000,0,45000,189605.03
2015,     ,39200  ,RECÀRREC DECLARACIO EXTEMPORANEA                  ,10000,0,10000,7264.49
2015,     ,39211  ,RECÀRREC CONSTRENYIMENT                           ,20000,0,20000,44572.97
2015,     ,393    ,INTERESSOS DE DEMORA                              ,55000,0,55000,78453.25
2015,     ,398    ,INDEMNITZACIONS D'ASSEGURANCES NO VIDA            ,25000,0,25000,129873.91
2015,     ,399    ,ALTRES INGRESOS DIVERSOS                          ,50000,0,50000,112636.76
2015,     ,42000  ,PARTICIPACIÓ EN TRIBUTS DE L'ESTAT                ,12755248,0,12755248,12849705.94
2015,     ,441    ,TRANSFERENCIES D'EMPRESES ENTITAT LOCAL           ,0,10756.69,10756.69,10756.69
2015,     ,45000  ,FONS COOPERACIÓ LOCAL CATALUNYA                   ,378110,0,378110,1192997.88
2015,     ,45001  ,ALTRES TRANSFERÈNCIES DE LA GENERALITAT           ,15000,234663.99,249663.99,309312.15
2015,     ,45002  ,SUBV. GENERALITAT SERVEIS SOCIALS/IGUALTAT        ,1775000,52000,1827000,3162590.32
2015,     ,45030  ,SUBV. GENERALITAT EDUCACIÓ                        ,1000,0,1000,94038.21
2015,     ,45050  ,SUBV. GENERALITAT OCUPACIÓ-DESENVOLUPAMENT LOCAL  ,6,853750.42,853756.42,682882.32
2015,     ,450801 ,SUBV. GENERALITAT SANITAT-CONSUM                  ,1000,0,1000,12968.39
2015,     ,450802 ,SUBVENCIONS GENERALITAT CULTURA-JOVENTUT          ,6,0,6,25600
2015,     ,450803 ,SUBVENCIONS GENERALITAT TURISME                   ,0,0,0,70427.42
2015,     ,453    ,"DE SOCIETATS,ENS PUBL I ALTRES DEPEN CCAA         ",0,0,0,12904.99
2015,     ,46100  ,SUBVENCIONS DIPUTACIO                             ,0,0,0,72593.86
2015,     ,46101  ,SUBV. DIPUTACIÓ FORMACIÓ-OCUPACIÓ                 ,6,445389.64,445395.64,420642.43
2015,     ,46102  ,SUBV. DIPUTACIÓ SERVEIS SOCIALS                   ,267190,0,267190,306682.72
2015,     ,46103  ,SUBV. DIPUTACIÓ EDUCACIÓ                          ,223512,0,223512,892785.85
2015,     ,46104  ,SUBV. DIPUTACIÓ ESPORTS                           ,20551,0,20551,5919
2015,     ,46105  ,SUBV. DIPUTACIÓ SALUT PUBLICA                     ,60000,0,60000,124380.66
2015,     ,46106  ,"SUBV. DIPUTACIÓ, CULTURA-JOVENTUT                 ",6700,0,6700,6700
2015,     ,46107  ,SUBV. DIPUTACIÓ MEDI AMBIENT                      ,6,0,6,0
2015,     ,46108  ,SUBV DIPUTACIÓ PROMOCIO DONA                      ,33985,0,33985,33985.75
2015,     ,46109  ,SUBV DIPUTACIÓ PROGRAMA COMPLEMENTARI SUPORT      ,158860,0,158860,0
2015,     ,462    ,TRANSFERENCIES CORRENTS D'AJUNTAMENTS             ,6,0,6,25590.19
2015,     ,464    ,TRANSFERENCIES CORRENTS D'AREAS METROPOLITANAS    ,6,297160.29,297166.29,302605.84
2015,     ,465    ,TRANSFERENCIES CORRENTS ENS COMARCALS             ,6,0,6,7357.77
2015,     ,470    ,SUBVENCIONS D'EMPRESES                            ,5000,8702.48,13702.48,8702.48
2015,     ,480    ,SUBVENCIONS FORMACIÓ I OCUPACIÓ                   ,6,94000,94006,94000
2015,     ,490    ,SUBV. FONS SOCIAL EUROPEU                         ,6,0,6,0
2015,     ,491    ,FEDER                                             ,0,0,0,90979.58
2015,     ,514    ,INTERESSOS DE SOCIETATS MERCANTILS                ,0,0,0,2491.91
2015,     ,52     ,INTERESSOS DE DIPÓSITS                            ,400000,0,400000,446201.32
2015,     ,541    ,PRODUCTE ARRENDAMENTS IMMOBLES                    ,50000,0,50000,15993.88
2015,     ,550    ,CONCESSIONS ADMINISTRATIVES                       ,135000,0,135000,163310.03
2015,     ,75080  ,ALTRES TRANSF DE CAPITAL COMUNITAT AUTONOMA       ,0,0,0,273133.47
2015,     ,753    ,"TRANS CAPITAL SOCIETAT MERCANTILS, EEPP, ALTRES OR",0,0,0,1583873.49
2015,     ,761    ,TRANSF CAPITAL DIPUTACIO DE BARCELONA             ,0,0,0,334104.64
2015,     ,764    ,TRANSF CAPITAL AREA METROPOLITANA DE BARCELONA    ,1226662,0,1226662,1967591.49
2015,     ,830    ,BESTRETES REINTEGRABLES PERSONAL                  ,1000,52500,53500,50907.21
2015,     ,87000  ,ROMANENT TRESORERIA DESPESES GENERALS             ,0,18373015.94,18373015.94,0
