#Ejercicio,Org.,Prog.,Econ.,Denominación (cat),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de crècido,m,Obligaciones reconegudes
2023,041  ,3200 ,12003  ,SOUS DEL GRUP C1                                  ,,3    ,1     ,11483,0,,2509.23
2023,041  ,3200 ,12004  ,SOUS DEL GRUP C2                                  ,,3    ,1     ,38933,0,,7211.14
2023,041  ,3200 ,12006  ,TRIENNIS                                          ,,3    ,1     ,19687,0,,4253.54
2023,041  ,3200 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,3    ,1     ,54322,0,,8971.64
2023,041  ,3200 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,3    ,1     ,127988,0,,22502.08
2023,041  ,3200 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,3    ,1     ,87344,0,,8537.97
2023,041  ,3202 ,12000  ,SOUS DEL GRUP A1                                  ,,3    ,1     ,17050,0,,3864.93
2023,041  ,3202 ,12001  ,SOUS DEL GRUP A2                                  ,,3    ,1     ,90094,0,,20051.64
2023,041  ,3202 ,12006  ,TRIENNIS                                          ,,3    ,1     ,15221,0,,3308.49
2023,041  ,3202 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,3    ,1     ,46891,0,,10032.18
2023,041  ,3202 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,3    ,1     ,96447,0,,20634.15
2023,041  ,3202 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,3    ,1     ,38306,0,,8370.39
2023,041  ,3202 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,3    ,1     ,93959,0,,15913.83
2023,041  ,323  ,226991 ,DESP DIVERSES MILLORA ENSENYAMENT PÚBLIC          ,041,32   ,22    ,1000,0,,0
2023,041  ,323  ,227992 ,PREST. SERVEIS ESCOLES BARRI SANT COSME           ,041,32   ,22    ,33272,0,,5552.56
2023,041  ,3231 ,12001  ,SOUS DEL GRUP A2                                  ,,3    ,1     ,74964,0,,16709.7
2023,061  ,3423 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,3    ,1     ,27786,0,,6029.07
2023,061  ,3423 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,3    ,1     ,87843,0,,19070.16
2023,061  ,3423 ,121031 ,ALTRES COMPLEMENTS                                ,,3    ,1     ,5030,0,,1330.59
2023,061  ,3423 ,121039 ,RETRIBUCIONS COMPLEMENTÀRIES SUPLÈNCIES           ,,3    ,1     ,27710,0,,7098.13
2023,061  ,3423 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,3    ,1     ,231165,0,,43394.97
2023,061  ,3423 ,13001  ,HORES EXTRAORDINÀRIES PERSONAL LABORAL FIX        ,,3    ,1     ,5600,0,,2515.14
2023,061  ,3423 ,13002  ,ALTRES REMUNERACIONS PERSONAL LABORAL FIX         ,,3    ,1     ,4075,0,,1645.6
2023,061  ,3423 ,13199  ,RETRIBUCIONS PERSONAL LABORAL TEMPORAL-SUPLÈNCIES ,,3    ,1     ,14000,0,,360.11
2023,061  ,3423 ,151    ,GRATIFICACIÓ SERVEIS FUNCIONARIS                  ,,3    ,1     ,5625,0,,3023.54
2023,061  ,3423 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,3    ,1     ,159932,0,,28213.31
2023,061  ,3423 ,212    ,"CEM ESTRUCH, CONSERVACIÓ I REPARACIÓ              ",061,34   ,21    ,160000,3910.42,,11755.14
2023,061  ,3423 ,22100  ,ELECTRICITAT CEM ESTRUCH                          ,061,34   ,22    ,162685,3706.3,,21524.53
2023,061  ,3423 ,22102  ,CONSUM GAS CEM ESTRUCH                            ,061,34   ,22    ,474489,112811.68,,5
2023,061  ,3423 ,22700  ,NETEJA CEM ESTRUCH                                ,061,34   ,22    ,602166,0,,45697.48
2023,061  ,3424 ,22100  ,ELECTRICITAT CEM JULIO MÉNDEZ                     ,061,34   ,22    ,27205,1210.65,,0
2023,061  ,3424 ,22102  ,CONSUM GAS CEM JULIO MÉNDEZ                       ,061,34   ,22    ,69527,9105.6,,2.5
2023,061  ,3424 ,227991 ,CONSERV I GEST CEM JULIO MÉNDEZ                   ,061,34   ,22    ,476135,0,,87598.92
2023,061  ,3425 ,22100  ,ELECTRICITAT CEM FONDO D'EN PEIXO                 ,061,34   ,22    ,71282,0,,17727.13
2023,061  ,3425 ,22102  ,CONSUM GAS CEM FONDO D'EN PEIXO                   ,061,34   ,22    ,224424,53314.71,,7
2023,061  ,3425 ,227991 ,CONTR PREST SERVEIS FONDO D'EN PEIXO              ,061,34   ,22    ,753830,132.87,,58669.23
2023,061  ,912  ,10000  ,RETRIBUCIONS BÀSIQUES ÒRGANS DE GOVERN            ,,9    ,1     ,64653,0,,13854.12
2023,061  ,912  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,9    ,1     ,17560,0,,2971.54
2023,062  ,311  ,212    ,"EDIF. SANITAT-CONSERV, I REP.                     ",062,31   ,21    ,13355,0,,0
2023,062  ,311  ,22100  ,ELECTRICITAT EDIFICI SALUT PÚBLICA                ,062,31   ,22    ,14048,1118.33,,4074.37
2023,012  ,920  ,23010  ,DIETES PERSONAL DIRECTIU                          ,012,92   ,23    ,1000,0,,0
2023,012  ,920  ,23110  ,LOCOMOCIÓ PERSONAL DIRECTIU                       ,012,92   ,23    ,1000,0,,0
2023,061  ,342  ,227991 ,CONTR PREST SERVEIS ESPORTS                       ,061,34   ,22    ,955000,0,,159369.36
2023,031  ,336  ,609    ,INV NOVA PROJ PARTIPATIUS EN INFRAESTRUCTURES     ,031,336  ,609   ,0,93227.88,,0
2023,012  ,920  ,22000  ,MATERIAL D'OFICINA                                ,012,92   ,22    ,125000,1661.65,,18471.32
2023,012  ,920  ,22002  ,MATERIAL INFORMÀTIC NO INVENTARIABLE              ,012,92   ,22    ,172000,4937.09,,6675.37
2023,012  ,920  ,22104  ,VESTUARI                                          ,012,92   ,22    ,20000,0,,140
2023,012  ,920  ,22199  ,MATERIAL DIVERS - PREVENCIÓ RISCOS LABORALS       ,012,92   ,22    ,30000,1045.02,,1195.02
2023,012  ,920  ,22200  ,SERVEIS COMUNICACIÓ TELECOMUNICACIONS             ,012,92   ,22    ,175000,774.46,,774.46
2023,012  ,920  ,22201  ,SERVEIS COMUNICACIÓ POSTALS                       ,012,92   ,22    ,120000,0,,0
2023,012  ,920  ,224    ,ASSEGURANCES                                      ,012,92   ,22    ,266928,0,,194.31
2023,012  ,920  ,22500  ,TRIBUTS ESTATALS (Impost producció elèctrica)     ,012,92   ,22    ,1000,0,,0
2023,012  ,920  ,22502  ,TRIBUTS DE LES ENTITATS LOCALS                    ,012,92   ,22    ,12000,0,,7172.22
2023,012  ,920  ,22602  ,"ANUNCIS, PUBLICACIONS, ETC.                       ",012,92   ,22    ,15000,0,,2141.7
2023,012  ,920  ,22603  ,ANUNCIS DIARIS OFICIALS                           ,012,92   ,22    ,15000,0,,0
2023,012  ,920  ,22604  ,DESP DEFENSA JURÍDICA I REGISTRAL                 ,012,92   ,22    ,60000,0,,20252.14
2023,012  ,920  ,227061 ,ESTUDIS I TREBALLS TÈCNICS                        ,012,92   ,22    ,100000,876.23,,2628.69
2023,012  ,920  ,227063 ,OFICINA TÈCNICA DESENVOLUPAMENT PROGRAMARI SITIC  ,012,92   ,22    ,300000,54416.01,,68790.81
2023,012  ,920  ,227064 ,ESTUDIS I TREBALLS TECNICS SER CENTRALS I ECONOMIA,012,92   ,22    ,70000,0,,0
2023,012  ,920  ,22799  ,CONTR PRESTACIÓ DE SERVEIS                        ,012,92   ,22    ,258000,1331,,5159.7
2023,012  ,920  ,227991 ,"PREST SERV INNOV DIGITAL, QUALITAT I PROJ ESTRATÈG",012,92   ,22    ,105000,0,,0
2023,012  ,920  ,227992 ,CONTR PREST SERVEIS SITIC                         ,012,92   ,22    ,215000,5538.27,,20348.27
2023,012  ,920  ,227993 ,CONTR PRESTACIO SERVEIS LOGISTICA                 ,012,92   ,22    ,15000,0,,0
2023,012  ,920  ,23020  ,DIETES PERSONAL NO DIRECTIU                       ,012,92   ,23    ,3000,0,,920.06
2023,012  ,920  ,23120  ,LOCOMOCIÓ PERSONAL NO DIRECTIU                    ,012,92   ,23    ,5000,155.05,,4289.52
2023,012  ,920  ,233    ,ASSISTÈNCIA TRIBUNALS                             ,012,92   ,23    ,5000,0,,70.02
2023,021  ,1531 ,609    ,INV NOVA INFRAESTRUCTURA I BÉNS ÚS GRAL           ,021,1531 ,609   ,0,5829.69,,0
2023,041  ,3231 ,12003  ,SOUS DEL GRUP C1                                  ,,3    ,1     ,26411,0,,4146.91
