#Ejercicio,Org.,Econ.,Denominación (catalán),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2012,     ,32901  ,MERCAT MUNICIPAL                                  ,33000,0,33000,33657
2012,     ,32902  ,CONTROL SANITARI D'ESTABLIMENTS                   ,1000,0,1000,0
2012,     ,331    ,TAXES GUALS                                       ,525000,0,525000,539578.3
2012,     ,332    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP SUBMINISTRA,1200000,0,1200000,1321192.45
2012,     ,333    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP TELECOMUNIC,50000,0,50000,51658.74
2012,     ,335    ,TAXES VETLLADORS I CADIRES                        ,100000,0,100000,106606.75
2012,     ,338    ,TAXA COMPENSACIÓ TELEFÒNICA ESPAÑA                ,270000,0,270000,256216.53
2012,     ,339    ,ALTRES UTILITZACIONS PRIVATIVES DEL DOMINI PUBLIC ,160000,0,160000,137278.39
2012,     ,33901  ,TAXES QUIOSCOS                                    ,75000,0,75000,45057.91
2012,     ,33902  ,TAXES PARADES A LA VIA PÚBLICA                    ,150000,0,150000,160624.88
2012,     ,34901  ,HORTS LÚDICS                                      ,10000,0,10000,11227
2012,     ,34902  ,SERVEIS CULTURALS                                 ,1000,0,1000,0
2012,     ,34903  ,SERVEIS CULTURALS TEATRE MODERN                   ,6,32300.48,32306.48,34584.84
2012,     ,34904  ,SERVEIS PROMOCIO ECONOMICA                        ,22000,0,22000,4744
2012,     ,34905  ,SERVEIS/ACTIVITATS MEDI AMBIENT (ACTIVITATS)      ,45000,0,45000,59930.5
2012,     ,36000  ,VENDA MATERIAL REBUTJABLE                         ,10000,0,10000,27638.97
2012,     ,36001  ,VENDA DE PUBLICACIONS                             ,3000,0,3000,108.93
2012,     ,36002  ,VENDA D'ELECTRICITAT                              ,18000,0,18000,33581.57
2012,     ,36003  ,"PRESTACIO SERVEIS MEDI AMBIENT (PAPER, VIDRE, CART",325000,0,325000,493017.47
2012,     ,389    ,REINTEGRAMENTS PRESSUPOSTOS TANCATS               ,20000,0,20000,27412.28
2012,     ,38901  ,REINTEGRAMENTS ANUNCIS                            ,4000,0,4000,5406.21
2012,     ,39100  ,MULTES INFRACCIONS URBANISTIQUES                  ,20000,0,20000,2001
2012,     ,39120  ,MULTES CIRCULACIÓ                                 ,1000000,0,1000000,1056219.88
2012,     ,39190  ,ALTRES MULTES I SANCIONS                          ,50000,0,50000,114925.13
2012,     ,39200  ,RECÀRREC DECLARACIO EXTEMPORANEA                  ,5000,0,5000,12949.2
2012,     ,39211  ,RECÀRREC CONSTRENYIMENT                           ,20000,20000,40000,47126.24
2012,     ,393    ,INTERESSOS DE DEMORA                              ,50000,0,50000,330938.38
2012,     ,398    ,INDEMNITZACIONS D'ASSEGURANCES NO VIDA            ,20000,0,20000,159169.4
2012,     ,399    ,ALTRES INGRESOS DIVERSOS                          ,50000,0,50000,91612.88
2012,     ,42000  ,PARTICIPACIÓ EN TRIBUTS DE L'ESTAT                ,11075000,0,11075000,11994831.92
2012,     ,441    ,TRANSF. SOCIETAT MERCANTIL DE ENTITAT LOCAL       ,0,10756.69,10756.69,10756.69
2012,     ,45000  ,FONS COOPERACIÓ LOCAL CATALUNYA                   ,540000,0,540000,378109.62
2012,     ,45001  ,ALTRES TRANSFERÈNCIES DE LA GENERALITAT           ,75000,234664,309664,439884.11
2012,     ,45002  ,SUBV. GENERALITAT SERVEIS SOCIALS/IGUALTAT        ,1650000,0,1650000,1996125.16
2012,     ,45030  ,SUBV. GENERALITAT EDUCACIÓ                        ,824000,27636,851636,685531.65
2012,     ,45050  ,SUBV. GENERALITAT OCUPACIÓ-DESENVOLUPAMENT LOCAL  ,6,476171.55,476177.55,317727.59
2012,     ,450801 ,SUBV. GENERALITAT SANITAT-CONSUM                  ,95000,0,95000,105081.32
2012,     ,450802 ,SUBVENCIONS GENERALITAT CULTURA-JOVENTUT          ,49000,0,49000,47335.51
2012,     ,46100  ,SUBV. D'ENS LOCALS                                ,0,15000,15000,99220.8
2012,     ,46101  ,SUBV. DIPUTACIÓ FORMACIÓ-OCUPACIÓ                 ,6,85428.77,85434.77,89616.77
2012,     ,46102  ,SUBV. DIPUTACIÓ SERVEIS SOCIALS                   ,180000,0,180000,191048.31
2012,     ,46103  ,SUBV. DIPUTACIÓ EDUCACIÓ                          ,53094,5800,58894,54497.81
2012,     ,46104  ,SUBV. DIPUTACIÓ ESPORTS                           ,20000,0,20000,27090
2012,     ,46105  ,SUBV. DIPUTACIÓ SALUT PUBLICA                     ,55000,0,55000,55317
2012,     ,46106  ,"SUBV. DIPUTACIÓ, CULTURA-JOVENTUT                 ",52500,0,52500,128829
2012,     ,46107  ,SUBV. DIPUTACIÓ MEDI AMBIENT                      ,35000,0,35000,0
2012,     ,46108  ,SUBV DIPUTACIÓ PROMOCIO DONA                      ,14400,0,14400,22914.54
2012,     ,46109  ,SUB.DIPUTACIO PROGRAMA COMPLENT. SUPORT SOLVENCIA ,0,0,0,244105.47
2012,     ,462    ,TRANSFERENCIES CORRENTS D'AJUNTAMENTS             ,0,0,0,12325.98
2012,     ,464    ,TRANSFERENCIES CORRENTS D'AREAS METROP.           ,0,151215,151215,188493.44
2012,     ,467    ,SUBVENCIONS DE CONSORCIS                          ,0,0,0,11220
2012,     ,470    ,SUBVENCIONS D'EMPRESES                            ,20000,0,20000,5483.02
2012,     ,480    ,SUBVENCIONS FORMACIÓ I OCUPACIÓ                   ,6,101500,101506,101697.34
2012,     ,490    ,SUBV. FONS SOCIAL EUROPEU                         ,6,0,6,0
2012,     ,52     ,INTERESSOS DE DIPÓSITS                            ,400000,0,400000,777399.54
2012,     ,541    ,PRODUCTE ARRENDAMENTS IMMOBLES                    ,50000,0,50000,50192.64
2012,     ,550    ,CONCESSIONS ADMINISTRATIVES                       ,130000,0,130000,242710.16
2012,     ,603    ,VENDES PATRIMONI MPAL DEL SOL                     ,0,0,0,996008.4
2012,     ,75060  ,"TRANSF CAPITAL GENERALITAT, CONVENIS              ",0,0,0,4624395.22
2012,     ,75080  ,ALTRES TRANFERENCIES CAPITAL GENERALITAT          ,0,0,0,1974953.13
2012,     ,751    ,D'ORANISMES AUTONOMS I AGENCIES DE LES CCAA       ,0,0,0,12443.4
2012,     ,753    ,"TRANSF CAPITAL STATS MERCANTILS, EEPP I ALTRES ORG",200000,674883.73,874883.73,1082744.95
2012,     ,764    ,TRANSF CAPITAL AREA METROPOLITANA DE BARCELONA    ,1226662,0,1226662,535583.34
2012,     ,791    ,FEDER                                             ,0,0,0,913031.82
2012,     ,792    ,FONS DE COHESIO                                   ,0,0,0,263689.1
2012,     ,830    ,BESTRETES REINTEGRABLES PERSONAL                  ,1000,12000,13000,10720
2012,     ,87000  ,ROMANENT TRESORERIA DESPESES GENERALS             ,0,25611789.37,25611789.37,0
2012,     ,87010  ,ROMANENT TRESORERIA DESPESES AFECTADES            ,0,2125051.18,2125051.18,0
