#Ejercicio,Org.,Econ.,Denominación (castellano),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2012,     ,326    ,RETIRADA DE VEHÍCULOS,160000,0,160000,251091.59
2012,     ,32901  ,MERCADO MUNICIPAL                                  ,33000,0,33000,33657
2012,     ,32902  ,CONTROL SANITARIO DE ESTABLECIMIENTOS                   ,1000,0,1000,0
2012,     ,331    ,TASAS VADOS                                       ,525000,0,525000,539578.3
2012,     ,332    ,UTILITZACIÓN PRIVATIVA/APROVECHAMIENTO EMP SUMINISTRA,1200000,0,1200000,1321192.45
2012,     ,333    ,UTILITZACIÓN PRIVATIVA/APROVECHAMIENTO EMP TELECOMUNIC,50000,0,50000,51658.74
2012,     ,335    ,TASAS VELADORES Y SILLAS                    ,100000,0,100000,106606.75
2012,     ,338    ,TASA COMPENSACIÓN TELEFÓNICA ESPAÑA                ,270000,0,270000,256216.53
2012,     ,339    ,OTRAS UTILITZACIONS PRIVATIVES DEL DOMINI PUBLIC ,160000,0,160000,137278.39
2012,     ,33901  ,TASAS QUIOSCOS                                    ,75000,0,75000,45057.91
2012,     ,33902  ,TASAS PARADAS EN LA VIA PÚBLICA                    ,150000,0,150000,160624.88
2012,     ,34901  ,HUERTOS LÚDICOS                                      ,10000,0,10000,11227
2012,     ,34902  ,SERVICIOS CULTURALES,1000,0,1000,0
2012,     ,34903  ,SERVICIOS CULTURALES TEATRE MODERN                   ,6,32300.48,32306.48,34584.84
2012,     ,34904  ,SERVICIOS PROMOCIÓN ECONÓMICA                        ,22000,0,22000,4744
2012,     ,34905  ,SERVICIOS/ACTIVIDADES MEDIO AMBIENTE (ACTIVIDADES)      ,45000,0,45000,59930.5
2012,     ,36000  ,VENTA MATERIAL RECHAZO                         ,10000,0,10000,27638.97
2012,     ,36001  ,VENTA DE PUBLICACIONES                             ,3000,0,3000,108.93
2012,     ,36002  ,VENTA DE ELECTRICIDAD                             ,18000,0,18000,33581.57
2012,     ,36003  ,"PRESTACIÓN SERVICIOS MEDIO AMBIENTE (PAPEL, VIDRIO, CART",325000,0,325000,493017.47
2012,     ,389    ,REINTEGROS PRESUPUESTOS CERRADOS          ,20000,0,20000,27412.28
2012,     ,38901  ,REINTEGROS ANUNCIOS                            ,4000,0,4000,5406.21
2012,     ,39100  ,MULTAS INFRACCIONES URBANISTICAS           ,20000,0,20000,2001
2012,     ,39120  ,MULTAS CIRCULACIÓN                                 ,1000000,0,1000000,1056219.88
2012,     ,39190  ,OTRAS MULTAS Y SANCIONES                          ,50000,0,50000,114925.13
2012,     ,39200  ,RECARGO DECLARACION EXTEMPORÁNEA                  ,5000,0,5000,12949.2
2012,     ,39211  ,RECARGO APREMIO,20000,20000,40000,47126.24
2012,     ,393    ,INTERESES DE DEMORA                              ,50000,0,50000,330938.38
2012,     ,398    ,INDEMNIZACIONES DE SEGUROS NO VIDA     ,20000,0,20000,159169.4
2012,     ,399    ,OTROS INGRESOS DIVERSOS                          ,50000,0,50000,91612.88
2012,     ,42000  ,PARTICIPACIÓN EN TRIBUTOS DEL ESTADO                ,11075000,0,11075000,11994831.92
2012,     ,441    ,TRANSF. SOCIEDAD MERCANTIL DE ENTIDAD LOCAL       ,0,10756.69,10756.69,10756.69
2012,     ,45000  ,FONDO COOPERACIÓN LOCAL CATALUÑA                   ,540000,0,540000,378109.62
2012,     ,45001  ,OTRAS TRANSFERENCIAS DE LA GENERALITAT           ,75000,234664,309664,439884.11
2012,     ,45002  ,SUBV. GENERALITAT SERVICIOS SOCIALES/IGUALDAD        ,1650000,0,1650000,1996125.16
2012,     ,45030  ,SUBV. GENERALITAT EDUCACIÓN                        ,824000,27636,851636,685531.65
2012,     ,45050  ,SUBV. GENERALITAT OCUPACIÓN-DESARROLLO LOCAL  ,6,476171.55,476177.55,317727.59
2012,     ,450801 ,SUBV. GENERALITAT SANIDAD-CONSUMO                  ,95000,0,95000,105081.32
2012,     ,450802 ,SUBVENCIONES GENERALITAT CULTURA-JUVENTUD          ,49000,0,49000,47335.51
2012,     ,46100  ,SUBV. DE ENTES LOCALES                                ,0,15000,15000,99220.8
2012,     ,46101  ,SUBV. DIPUTACIÓN FORMACIÓN-OCUPACIÓN                 ,6,85428.77,85434.77,89616.77
2012,     ,46102  ,SUBV. DIPUTACIÓN SERVICIOS SOCIALES                   ,180000,0,180000,191048.31
2012,     ,46103  ,SUBV. DIPUTACIÓN EDUCACIÓN,53094,5800,58894,54497.81
2012,     ,46104  ,SUBV. DIPUTACIÓN DEPORTES                           ,20000,0,20000,27090
2012,     ,46105  ,SUBV. DIPUTACIÓN SALUD PÚBLICA                     ,55000,0,55000,55317
2012,     ,46106  ,"SUBV. DIPUTACIÓN, CULTURA-JUVENTUD                 ",52500,0,52500,128829
2012,     ,46107  ,SUBV. DIPUTACIÓN MEDIO AMBIENTE                      ,35000,0,35000,0
2012,     ,46108  ,SUBV DIPUTACIÓN PROMOCIÓN MUJER,14400,0,14400,22914.54
2012,     ,46109  ,SUB.DIPUTACION PROGRAMA COMPLENT. SOPORTE SOLVENCIA ,0,0,0,244105.47
2012,     ,462    ,TRANSFERENCIAS CORRIENTES DE AYUNTAMIENTOS             ,0,0,0,12325.98
2012,     ,464    ,TRANSFERENCIAS CORRIENTES DE AREAS METROP.           ,0,151215,151215,188493.44
2012,     ,467    ,SUBVENCIONES DE CONSORCIOS                          ,0,0,0,11220
2012,     ,470    ,SUBVENCIONES DE EMPRESAS                            ,20000,0,20000,5483.02
2012,     ,480    ,SUBVENCIONES FORMACIÓN Y OCUPACIÓN                   ,6,101500,101506,101697.34
2012,     ,490    ,SUBV. FONDO SOCIAL EUROPEO                         ,6,0,6,0
2012,     ,52     ,INTERESES DE DEPÓSITOS                            ,400000,0,400000,777399.54
2012,     ,541    ,PRODUCTO ALQUILERES INMUEBLES                    ,50000,0,50000,50192.64
2012,     ,550    ,CONCESIONES ADMINISTRATIVAS                       ,130000,0,130000,242710.16
2012,     ,603    ,VENTAS PATRIMONIO MPAL DEL SUELO                     ,0,0,0,996008.4
2012,     ,75060  ,"TRANSF CAPITAL GENERALITAT, CONVENIOS              ",0,0,0,4624395.22
2012,     ,75080  ,OTRAS TRANFERENCIES CAPITAL GENERALITAT          ,0,0,0,1974953.13
2012,     ,751    ,DE ORANISMOS AUTONOMOS Y AGENCIAS DE LAS CCAA       ,0,0,0,12443.4
2012,     ,753    ,"TRANSF CAPITAL SDADES MERCANTILES, EEPP Y OTROS ORG",200000,674883.73,874883.73,1082744.95
2012,     ,764    ,TRANSF CAPITAL AREA METROPOLITANA DE BARCELONA    ,1226662,0,1226662,535583.34
2012,     ,791    ,FEDER                                             ,0,0,0,913031.82
2012,     ,792    ,FONDOS DE COHESIÓN                             ,0,0,0,263689.1
2012,     ,830    ,ANTICIPOS REINTEGRABLES PERSONAL                  ,1000,12000,13000,10720
2012,     ,87000  ,REMANENTE TESORERIA GASTOS AFECTADOS   ,0,25611789.37,25611789.37,0
2012,     ,87010  ,REMANENTE TESORERIA GASTOS AFECTADOS   ,0,2125051.18,2125051.18,0
