#Ejercicio,Org.,Econ.,Denominación (catalán),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2013,     ,331    ,TAXES GUALS                                       ,540000,0,540000,551158.2
2013,     ,332    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP SUBMINISTRA,1200000,0,1200000,1399221
2013,     ,333    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP TELECOMUNIC,6,0,6,40148.92
2013,     ,335    ,TAXES VETLLADORS I CADIRES                        ,103000,0,103000,125783.15
2013,     ,338    ,TAXA COMPENSACIÓ TELEFÒNICA ESPAÑA                ,250000,0,250000,191425.16
2013,     ,339    ,ALTRES UTILITZACIONS PRIVATIVES DEL DOMINI PUBLIC ,100000,0,100000,217954.93
2013,     ,33901  ,TAXES QUIOSCOS                                    ,45000,0,45000,78526.64
2013,     ,33902  ,TAXES PARADES A LA VIA PÚBLICA                    ,145000,0,145000,53072.28
2013,     ,34901  ,HORTS LÚDICS                                      ,10300,0,10300,11445
2013,     ,34902  ,SERVEIS CULTURALS                                 ,1000,0,1000,0
2013,     ,34903  ,SERVEIS CULTURALS TEATRE MODERN                   ,6,25239.73,25245.73,29456.94
2013,     ,34904  ,SERVEIS PROMOCIO ECONOMICA                        ,5000,0,5000,2656
2013,     ,34905  ,SERVEIS/ACTIVITATS MEDI AMBIENT (ACTIVITATS)      ,45000,0,45000,48342.26
2013,     ,36000  ,VENDA MATERIAL REBUTJABLE                         ,10000,0,10000,23297.69
2013,     ,36001  ,VENDA DE PUBLICACIONS                             ,100,0,100,502.75
2013,     ,36002  ,VENDA D'ELECTRICITAT                              ,30000,0,30000,55932.45
2013,     ,36003  ,"PRESTACIO SERVEIS MEDI AMBIENT (PAPER, VIDRE, CART",390000,0,390000,398709.46
2013,     ,389    ,REINTEGRAMENTS PRESSUPOSTOS TANCATS               ,5000,0,5000,12654.37
2013,     ,38901  ,REINTEGRAMENTS ANUNCIS                            ,5000,0,5000,13560.25
2013,     ,39100  ,MULTES INFRACCIONS URBANISTIQUES                  ,5000,0,5000,86825.76
2013,     ,39120  ,MULTES CIRCULACIÓ                                 ,500000,0,500000,1087877.96
2013,     ,39190  ,ALTRES MULTES I SANCIONS                          ,40000,0,40000,104426.17
2013,     ,39200  ,RECÀRREC DECLARACIO EXTEMPORANEA                  ,10000,0,10000,36638.31
2013,     ,39211  ,RECÀRREC CONSTRENYIMENT                           ,20000,0,20000,41064.86
2013,     ,393    ,INTERESSOS DE DEMORA                              ,40000,0,40000,350605.28
2013,     ,398    ,INDEMNITZACIONS D'ASSEGURANCES NO VIDA            ,20000,0,20000,173760.9
2013,     ,399    ,ALTRES INGRESOS DIVERSOS                          ,50000,0,50000,93090.75
2013,     ,42000  ,PARTICIPACIÓ EN TRIBUTS DE L'ESTAT                ,11900000,0,11900000,12603401.66
2013,     ,42090  ,TRANSFERENCIES CORRENTS ADMINIST DE L'ESTAT       ,0,0,0,30000
2013,     ,421    ,D'ORGANISMES AUTONOMS I AGENCIES ESTATALS         ,0,0,0,6800
2013,     ,441    ,TRANSFERÈNCIES D'EMPRESES ENTITAT LOCAL           ,0,10756.69,10756.69,10756.69
2013,     ,45000  ,FONS COOPERACIÓ LOCAL CATALUNYA                   ,378110,0,378110,38719.32
2013,     ,45001  ,ALTRES TRANSFERÈNCIES DE LA GENERALITAT           ,15000,192978.94,207978.94,270131.33
2013,     ,45002  ,SUBV. GENERALITAT SERVEIS SOCIALS/IGUALTAT        ,1600000,0,1600000,1190564.39
2013,     ,45030  ,SUBV. GENERALITAT EDUCACIÓ                        ,450625,0,450625,7000
2013,     ,45050  ,SUBV. GENERALITAT OCUPACIÓ-DESENVOLUPAMENT LOCAL  ,6,1697219.29,1697225.29,1703325.12
2013,     ,450801 ,SUBV. GENERALITAT SANITAT-CONSUM                  ,89920,0,89920,101614.15
2013,     ,450802 ,SUBVENCIONS GENERALITAT CULTURA-JOVENTUT          ,12900,0,12900,0
2013,     ,450803 ,SUBVENCIONS GENERALITAT TURISME                   ,0,0,0,43528.17
2013,     ,46100  ,SUBVENCIONS D'ENS LOCALS                          ,0,0,0,113165.03
2013,     ,46101  ,SUBV. DIPUTACIÓ FORMACIÓ-OCUPACIÓ                 ,6,66307.54,66313.54,68137.54
2013,     ,46102  ,SUBV. DIPUTACIÓ SERVEIS SOCIALS                   ,132230,0,132230,477441.65
2013,     ,46103  ,SUBV. DIPUTACIÓ EDUCACIÓ                          ,39000,0,39000,40454.75
2013,     ,46104  ,SUBV. DIPUTACIÓ ESPORTS                           ,20000,2592,22592,25886
2013,     ,46105  ,SUBV. DIPUTACIÓ SALUT PUBLICA                     ,55000,0,55000,77736
2013,     ,46106  ,"SUBV. DIPUTACIÓ, CULTURA-JOVENTUT                 ",52500,0,52500,6052.78
2013,     ,46107  ,SUBV. DIPUTACIÓ MEDI AMBIENT                      ,6,0,6,0
2013,     ,46108  ,SUBV DIPUTACIÓ PROMOCIO DONA                      ,14000,0,14000,0
2013,     ,46109  ,SUBV DIPUTACIÓ PROGRAMA COMPLEMENTARI SUPORT      ,244105,0,244105,244105.47
2013,     ,462    ,TRANSFERENCIES CORRENTS D'AJUNTAMENTS             ,0,11680,11680,19652.04
2013,     ,464    ,TRANSFERENCIES CORRENTS D'AREAS METROPOLITANAS    ,0,120972,120972,347392.84
2013,     ,465    ,TRANSFERENCIES CORRENTS ENS COMARCALS             ,0,0,0,21033.82
2013,     ,470    ,SUBVENCIONS D'EMPRESES                            ,5000,20000,25000,24530.86
2013,     ,48     ,DE FAMILIES E INSTITUCIONS SENSE ANIN DE LUCRE    ,0,0,0,67970.27
2013,     ,480    ,SUBVENCIONS FORMACIÓ I OCUPACIÓ                   ,6,107514.94,107520.94,107514.94
2013,     ,490    ,SUBV. FONS SOCIAL EUROPEU                         ,6,0,6,0
2013,     ,491    ,FEDER                                             ,0,0,0,25747.05
2013,     ,52     ,INTERESSOS DE DIPÓSITS                            ,550000,0,550000,941475.47
2013,     ,541    ,PRODUCTE ARRENDAMENTS IMMOBLES                    ,50000,0,50000,59843.29
2013,     ,550    ,CONCESSIONS ADMINISTRATIVES                       ,135000,0,135000,241440.79
2013,     ,603    ,VENDA DE PATRIMONI                                ,0,0,0,986840.84
2013,     ,720    ,TRANSF CAPITAL DE L'ESTAT                         ,0,0,0,-25056.12
2013,     ,761    ,TRANSF CAPITAL DIPUTACIO DE BARCELONA             ,1875000,0,1875000,731000
2013,     ,764    ,TRANSF CAPITAL AREA METROPOLITANA DE BARCELONA    ,1226662,0,1226662,719730.78
2013,     ,830    ,BESTRETES REINTEGRABLES PERSONAL                  ,1000,1143738.92,1144738.92,1143453.05
2013,     ,87000  ,ROMANENT TRESORERIA DESPESES GENERALS             ,0,16261935.96,16261935.96,0
2013,     ,87010  ,ROMANENT TRESORERIA DESPESES AFECTADES            ,0,1767915.81,1767915.81,0
