#ejercicio,Org.,Prog.,Econ.,Denominación (CATALAN),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
2017,12.  ,932  ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,   ,9    ,1     ,95945,0,95945,35386.41
2017,12.  ,932  ,12101  ,COMPLEMENT ESPECÍFIC                              ,   ,9    ,1     ,224983,0,224983,81472.81
2017,12.  ,932  ,151    ,GRATIFICACIÓ SERVEIS FUNCIONARIS                  ,   ,9    ,1     ,1172,0,1172,597.15
2017,12.  ,932  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,142345,0,142345,57333.57
2017,12.  ,934  ,12000  ,SOUS DEL GRUP A1                                  ,   ,9    ,1     ,14825,0,14825,7412.11
2017,12.  ,934  ,12003  ,SOUS DEL GRUP C1                                  ,   ,9    ,1     ,9984,0,9984,4991.91
2017,12.  ,934  ,12004  ,SOUS DEL GRUP C2                                  ,   ,9    ,1     ,16925,0,16925,4750.27
2017,12.  ,934  ,12006  ,TRIENNIS                                          ,   ,9    ,1     ,8646,0,8646,3265.48
2017,12.  ,934  ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,   ,9    ,1     ,22812,0,22812,9564.2
2017,12.  ,934  ,12101  ,COMPLEMENT ESPECÍFIC                              ,   ,9    ,1     ,47508,0,47508,30405.28
2017,12.  ,934  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,30883,0,30883,9275.87
2017,12.  ,934  ,22708  ,DESPESES RECAPTACIÓ ORGT                          ,12.,934  ,22708 ,580000,0,580000,446708.38
2017,11.  ,9202 ,11001  ,RETRIBUCIONS COMPLEMENTÀRIES PERSONAL EVENTUAL    ,   ,9    ,1     ,37192,0,37192,17887.17
2017,11.  ,9202 ,12001  ,SOUS DEL GRUP A2                                  ,   ,9    ,1     ,39107,0,39107,12874.17
2017,11.  ,9202 ,12003  ,SOUS DEL GRUP C1                                  ,   ,9    ,1     ,9984,0,9984,4991.91
2017,11.  ,9202 ,12006  ,TRIENNIS                                          ,   ,9    ,1     ,3622,0,3622,1757.08
2017,11.  ,9202 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,   ,9    ,1     ,21061,0,21061,7823.34
2017,11.  ,9202 ,12101  ,COMPLEMENT ESPECÍFIC                              ,   ,9    ,1     ,41794,0,41794,15740.83
2017,11.  ,9202 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,   ,9    ,1     ,29899,0,29899,14949.2
2017,11.  ,9202 ,13001  ,HORES EXTRAORDINÀRIES PERSONAL LABORAL FIX        ,   ,9    ,1     ,142,0,142,454.95
2017,11.  ,9202 ,151    ,GRATIFICACIÓ SERVEIS FUNCIONARIS                  ,   ,9    ,1     ,209,0,209,957.12
2017,11.  ,9202 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,58431,0,58431,25535.06
2017,11.  ,9202 ,226021 ,COMUNICACIÓ SOCIAL-DIFUSIÓ                        ,11 ,92   ,22    ,141800,0,141800,57082.02
2017,11.  ,9202 ,226023 ,COMUNICACIÓ INSTITUCIONAL                         ,11 ,92   ,22    ,200000,0,200000,41802.63
2017,11.  ,9203 ,12000  ,SOUS DEL GRUP A1                                  ,   ,9    ,1     ,29649,0,29649,14824.22
2017,11.  ,9203 ,12003  ,SOUS DEL GRUP C1                                  ,   ,9    ,1     ,9984,0,9984,4991.91
2017,11.  ,9203 ,12004  ,SOUS DEL GRUP C2                                  ,   ,9    ,1     ,16925,0,16925,8462.46
2017,11.  ,9203 ,12006  ,TRIENNIS                                          ,   ,9    ,1     ,15478,0,15478,7693.64
2017,11.  ,9203 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,   ,9    ,1     ,34244,0,34244,17106.43
2017,11.  ,9203 ,12101  ,COMPLEMENT ESPECÍFIC                              ,   ,9    ,1     ,118481,0,118481,59223.96
2017,11.  ,9203 ,151    ,GRATIFICACIÓ SERVEIS FUNCIONARIS                  ,   ,9    ,1     ,1032,0,1032,98.42
2017,11.  ,9203 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,42470,0,42470,22382.71
2017,12.  ,011  ,31000  ,INTERESSOS PRÉSTECS LLARG TERMINI                 ,12.,011  ,31000 ,95000,0,95000,26263.04
2017,12.  ,011  ,31001  ,INTERESSOS ENDEUTAMENT CURT TERMINI               ,12 ,01   ,31    ,1000,0,1000,0
2017,12.  ,011  ,311    ,COMISSIONS-DESPESES OP. CRÈDIT                    ,12 ,01   ,31    ,1000,0,1000,7.3
2017,12.  ,011  ,359    ,ALTRES DESPESES FINANCERES                        ,12 ,01   ,35    ,15000,0,15000,2299.32
2017,12.  ,011  ,913    ,AMORT. PRÉSTECS ENTITATS FINANCERES               ,12.,011  ,913   ,2255000,224408.53,2479408.53,1198361.37
2017,12.  ,133  ,82120  ,PRÉSTEC EMPRESA MUNICIPAL PRAT ESPAIS             ,12.,133  ,82120 ,1000000,14000000,15000000,0
2017,12.  ,160  ,740    ,TRANSF CAPITAL APSA                               ,12.,160  ,740   ,350000,0,350000,100000
2017,12.  ,161  ,467    ,TRANSF CONGIAC                                    ,12.,161  ,467   ,1,6800,6801,6800
2017,12.  ,221  ,16205  ,ASSEGURANÇA VIDA I ACCIDENTS                      ,   ,2    ,1     ,45000,0,45000,0
2017,12.  ,221  ,164    ,AJUDA FAMILIAR                                    ,   ,2    ,1     ,14081,0,14081,7526.82
2017,12.  ,419  ,621    ,ADQUISICIÓ DE TERRENYS                            ,12.,419  ,621   ,100000,0,100000,50000
2017,12.  ,912  ,10000  ,RETRIBUCIONS BÀSIQUES ÒRGANS DE GOVERN            ,   ,9    ,1     ,55955,0,55955,55247.29
2017,12.  ,912  ,10001  ,ALTRES REMUNERACIONS - ASSISTÈNCIA PLENS          ,   ,9    ,1     ,82416,0,82416,40703
2017,12.  ,912  ,10002  ,RETRIBUCIONS BÀSIQUES REG. DEDICACIÓ PARCIAL      ,   ,9    ,1     ,54541,0,54541,0
2017,12.  ,912  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,31979,0,31979,16202.58
2017,12.  ,912  ,489    ,TRANSF CORRENTS GRUPS MUNICIPALS                  ,12 ,91   ,48    ,175500,0,175500,82650
2017,12.  ,920  ,202    ,ARRENDAMENTS VARIS                                ,12 ,92   ,20    ,155000,0,155000,82599.13
2017,12.  ,920  ,209    ,CÀNONS VARIS                                      ,12 ,92   ,20    ,65000,0,65000,41805.66
2017,12.  ,920  ,216    ,MANTENIMENT EQUIPS INFORMÀTICS/PROGRAMARI         ,12 ,92   ,21    ,390000,0,390000,126883.48
2017,12.  ,920  ,22000  ,MATERIAL D'OFICINA                                ,12 ,92   ,22    ,125000,0,125000,51996.14
2017,12.  ,920  ,22002  ,MATERIAL INFORMÀTIC NO INVENTARIABLE              ,12 ,92   ,22    ,110000,0,110000,27141.9
2017,12.  ,920  ,22104  ,VESTUARI                                          ,12 ,92   ,22    ,30000,0,30000,4596.03
2017,12.  ,920  ,22200  ,SERVEIS COMUNICACIÓ TELECOMUNICACIONS             ,12 ,92   ,22    ,200000,0,200000,38294.75
2017,12.  ,920  ,22201  ,SERVEIS COMUNICACIÓ POSTALS                       ,12 ,92   ,22    ,150000,0,150000,38984.62
2017,12.  ,920  ,224    ,ASSEGURANCES                                      ,12 ,92   ,22    ,192000,0,192000,68847.99
2017,12.  ,920  ,22500  ,TRIBUTS ESTATALS (Impost producció elèctrica)     ,12 ,92   ,22    ,1000,0,1000,0
2017,12.  ,920  ,22602  ,"ANUNCIS, PUBLICACIONS, ETC.                       ",12 ,92   ,22    ,10000,0,10000,6157.4
2017,12.  ,920  ,22603  ,ANUNCIS DIARIS OFICIALS                           ,12 ,92   ,22    ,20000,0,20000,17021.76
2017,12.  ,920  ,22604  ,DESP DEFENSA JURÍDICA I REGISTRAL                 ,12 ,92   ,22    ,27000,0,27000,7846.84
2017,12.  ,920  ,227061 ,ESTUDIS I TREBALLS TÈCNICS                        ,12 ,92   ,22    ,50000,0,50000,5505.5
2017,12.  ,920  ,227062 ,ESTUDIS I TREBALLS TÈCNICS TIC                    ,12 ,92   ,22    ,230000,0,230000,34369.52
2017,12.  ,920  ,22799  ,CONTR PRESTACIÓ DE SERVEIS                        ,12 ,92   ,22    ,200000,0,200000,16044.05
2017,12.  ,920  ,23010  ,DIETES PERSONAL DIRECTIU                          ,12 ,92   ,23    ,2658,0,2658,0
2017,12.  ,920  ,23020  ,DIETES PERSONAL NO DIRECTIU                       ,12 ,92   ,23    ,2658,0,2658,604.71
2017,12.  ,920  ,23110  ,LOCOMOCIÓ PERSONAL DIRECTIU                       ,12 ,92   ,23    ,3562,0,3562,314.21
2017,12.  ,920  ,23120  ,LOCOMOCIÓ PERSONAL NO DIRECTIU                    ,12 ,92   ,23    ,3606,0,3606,1837.81
2017,12.  ,920  ,233    ,ASSISTÈNCIA TRIBUNALS                             ,12 ,92   ,23    ,900,0,900,1563.63
2017,12.  ,920  ,467    ,ECONOMIA-TRANSF.LOCALRET                          ,12.,920  ,467   ,8000,0,8000,7372.64
2017,12.  ,920  ,489    ,BEQUES PERSONAL COL·LABORADOR                     ,12 ,92   ,48    ,32000,0,32000,12541.89
2017,12.  ,920  ,624    ,INVERSIÓ ELEMENTS DE TRANSPORT                    ,12.,920  ,624   ,50000,88906.48,138906.48,25767.33
2017,12.  ,920  ,626    ,MATERIAL INVENTARIABLE. EQUIPS PROCESOS INFORMÀTIC,12.,920  ,626   ,200000,191978.09,391978.09,203598.93
2017,12.  ,920  ,629    ,MATERIAL INVENTARIABLE DIVERS                     ,12.,920  ,629   ,100000,89864.11,189864.11,88890.88
2017,12.  ,920  ,830    ,BESTRETES REINTEGRABLES PERSONAL                  ,12.,920  ,830   ,1000,8000,9000,7531.51
2017,12.  ,9204 ,11000  ,RETRIBUCIONS BÀSIQUES PERSONAL EVENTUAL           ,   ,9    ,1     ,21666,0,21666,10832.83
2017,12.  ,9204 ,11001  ,RETRIBUCIONS COMPLEMENTÀRIES PERSONAL EVENTUAL    ,   ,9    ,1     ,50019,0,50019,25009.04
2017,12.  ,9204 ,12003  ,SOUS DEL GRUP C1                                  ,   ,9    ,1     ,49920,0,49920,89.71
2017,12.  ,9204 ,12004  ,SOUS DEL GRUP C2                                  ,   ,9    ,1     ,8463,0,8463,4190.88
2017,12.  ,9204 ,12006  ,TRIENNIS                                          ,   ,9    ,1     ,2452,0,2452,1213.82
2017,12.  ,9204 ,120099 ,RETRIBUCIONS BÀSIQUES SUPLÈNCIES                  ,   ,9    ,1     ,12396,0,12396,2279.65
2017,12.  ,9204 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,   ,9    ,1     ,25878,0,25878,2167.11
2017,12.  ,9204 ,12101  ,COMPLEMENT ESPECÍFIC                              ,   ,9    ,1     ,55748,0,55748,5053.76
2017,12.  ,9204 ,121039 ,RETRIBUCIONS COMPLEMENTÀRIES SUPLÈNCIES           ,   ,9    ,1     ,17718,0,17718,3646.25
2017,12.  ,9204 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,   ,9    ,1     ,19896,0,19896,0
2017,12.  ,9204 ,130021 ,INCENTIU PRODUCTIVITAT PERSONAL LABORAL FIX       ,   ,9    ,1     ,102751,0,102751,79399.45
2017,12.  ,9204 ,131    ,RETRIBUCIONS PERSONAL LABORAL TEMPORAL            ,   ,9    ,1     ,24000,0,24000,0
2017,12.  ,9204 ,131021 ,INCENTIU PRODUCTIVITAT NO ABSENTISME LABORAL TEMP ,   ,9    ,1     ,4306,0,4306,3883.75
2017,12.  ,9204 ,13199  ,RETRIBUCIONS PERSONAL LABORAL TEMPORAL-SUPLÈNCIES ,   ,9    ,1     ,1362,0,1362,3110.55
2017,12.  ,9204 ,1432   ,INCENTIU PRODUCTIVITAT NO ABSENTISME ALTRE PERSONA,   ,9    ,1     ,2307,0,2307,7361.25
2017,12.  ,9204 ,15001  ,INCENTIU PRODUCTIVITAT NO ABSENTISME              ,   ,9    ,1     ,297060,0,297060,221685.1
2017,12.  ,9204 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,64175,0,64175,13514.48
2017,12.  ,9204 ,16104  ,INDEMNITZACIÓ JUBILACIONS ANTICIPADES             ,   ,9    ,1     ,126000,0,126000,49743.43
2017,12.  ,9204 ,16200  ,FORMACIÓ I PERFECCIONAMENT DEL PERSONAL           ,   ,9    ,1     ,60000,0,60000,10272.03
2017,12.  ,9205 ,12000  ,SOUS DEL GRUP A1                                  ,   ,9    ,1     ,29649,0,29649,7412.11
2017,12.  ,9205 ,12001  ,SOUS DEL GRUP A2                                  ,   ,9    ,1     ,13036,0,13036,6517.8
2017,12.  ,9205 ,12003  ,SOUS DEL GRUP C1                                  ,   ,9    ,1     ,9984,0,9984,4991.91
2017,12.  ,9205 ,12004  ,SOUS DEL GRUP C2                                  ,   ,9    ,1     ,33850,0,33850,15122.14
2017,12.  ,9205 ,12006  ,TRIENNIS                                          ,   ,9    ,1     ,23764,0,23764,11611.85
2017,12.  ,9205 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,   ,9    ,1     ,42599,0,42599,17275.65
2017,12.  ,9205 ,12101  ,COMPLEMENT ESPECÍFIC                              ,   ,9    ,1     ,96213,0,96213,41288.41
2017,12.  ,9205 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,61941,0,61941,27249.05
2017,12.  ,9206 ,12000  ,SOUS DEL GRUP A1                                  ,   ,9    ,1     ,44473,0,44473,22049.64
2017,12.  ,9206 ,12001  ,SOUS DEL GRUP A2                                  ,   ,9    ,1     ,26072,0,26072,12977.38
2017,12.  ,9206 ,12003  ,SOUS DEL GRUP C1                                  ,   ,9    ,1     ,49920,0,49920,13928.84
2017,12.  ,9206 ,12004  ,SOUS DEL GRUP C2                                  ,   ,9    ,1     ,33850,0,33850,22060.72
2017,12.  ,9206 ,12006  ,TRIENNIS                                          ,   ,9    ,1     ,40991,0,40991,20441.93
2017,12.  ,9206 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,   ,9    ,1     ,74353,0,74353,33703.89
2017,12.  ,9206 ,12101  ,COMPLEMENT ESPECÍFIC                              ,   ,9    ,1     ,169232,0,169232,79983.49
2017,12.  ,9206 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,   ,9    ,1     ,71111,0,71111,35555.11
2017,12.  ,9206 ,151    ,GRATIFICACIÓ SERVEIS FUNCIONARIS                  ,   ,9    ,1     ,2555,0,2555,849.68
2017,12.  ,9206 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,133318,0,133318,69788.21
2017,12.  ,9207 ,12000  ,SOUS DEL GRUP A1                                  ,   ,9    ,1     ,57915,0,57915,7412.11
2017,12.  ,9207 ,12001  ,SOUS DEL GRUP A2                                  ,   ,9    ,1     ,92632,0,92632,36447.26
2017,12.  ,9207 ,12003  ,SOUS DEL GRUP C1                                  ,   ,9    ,1     ,29952,0,29952,14975.73
2017,12.  ,9207 ,12004  ,SOUS DEL GRUP C2                                  ,   ,9    ,1     ,8463,0,8463,4231.23
2017,12.  ,9207 ,12006  ,TRIENNIS                                          ,   ,9    ,1     ,30942,0,30942,14814.48
2017,12.  ,9207 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,   ,9    ,1     ,96246,0,96246,31704.21
2017,12.  ,9207 ,12101  ,COMPLEMENT ESPECÍFIC                              ,   ,9    ,1     ,255322,0,255322,80332.44
2017,12.  ,9207 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,   ,9    ,1     ,92216,0,92216,46050.04
2017,12.  ,9207 ,13001  ,HORES EXTRAORDINÀRIES PERSONAL LABORAL FIX        ,   ,9    ,1     ,608,0,608,0
2017,12.  ,9207 ,151    ,GRATIFICACIÓ SERVEIS FUNCIONARIS                  ,   ,9    ,1     ,802,0,802,0
2017,12.  ,9207 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,161233,0,161233,60561.36
2017,12.  ,9208 ,12000  ,SOUS DEL GRUP A1                                  ,   ,9    ,1     ,29649,0,29649,14824.22
2017,12.  ,9208 ,12004  ,SOUS DEL GRUP C2                                  ,   ,9    ,1     ,17028,0,17028,8058.96
2017,12.  ,9208 ,12006  ,TRIENNIS                                          ,   ,9    ,1     ,12891,0,12891,6331.28
2017,12.  ,9208 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,   ,9    ,1     ,19193,0,19193,9394.77
2017,12.  ,9208 ,12101  ,COMPLEMENT ESPECÍFIC                              ,   ,9    ,1     ,41403,0,41403,21256.75
2017,12.  ,9208 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,   ,9    ,1     ,59606,0,59606,29802.98
2017,12.  ,9208 ,13001  ,HORES EXTRAORDINÀRIES PERSONAL LABORAL FIX        ,   ,9    ,1     ,608,0,608,0
2017,12.  ,9208 ,151    ,GRATIFICACIÓ SERVEIS FUNCIONARIS                  ,   ,9    ,1     ,201,0,201,181.72
2017,12.  ,9208 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,50801,0,50801,26381.78
2017,12.  ,9209 ,12004  ,SOUS DEL GRUP C2                                  ,   ,9    ,1     ,8463,0,8463,4231.23
2017,12.  ,9209 ,12005  ,SOUS DEL GRUP E                                   ,   ,9    ,1     ,23267,0,23267,8309.4
2017,12.  ,9209 ,12006  ,TRIENNIS                                          ,   ,9    ,1     ,7311,0,7311,2591.83
2017,12.  ,9209 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,   ,9    ,1     ,13442,0,13442,5403.22
2017,12.  ,9209 ,12101  ,COMPLEMENT ESPECÍFIC                              ,   ,9    ,1     ,36101,0,36101,23663.32
2017,12.  ,9209 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,   ,9    ,1     ,267538,0,267538,143124.72
2017,12.  ,9209 ,13001  ,HORES EXTRAORDINÀRIES PERSONAL LABORAL FIX        ,   ,9    ,1     ,3945,0,3945,1049.33
2017,12.  ,9209 ,151    ,GRATIFICACIÓ SERVEIS FUNCIONARIS                  ,   ,9    ,1     ,18,0,18,0
2017,12.  ,9209 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,114558,0,114558,48828.98
2017,12.  ,922  ,466    ,TRANSF FMC                                        ,12.,922  ,466   ,13000,0,13000,10527.45
2017,12.  ,9231 ,12003  ,SOUS DEL GRUP C1                                  ,   ,9    ,1     ,9984,0,9984,4991.91
2017,12.  ,9231 ,12004  ,SOUS DEL GRUP C2                                  ,   ,9    ,1     ,8463,0,8463,4231.23
2017,12.  ,9231 ,12006  ,TRIENNIS                                          ,   ,9    ,1     ,5132,0,5132,2538.41
2017,12.  ,9231 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,   ,9    ,1     ,8626,0,8626,4614.5
2017,12.  ,9231 ,12101  ,COMPLEMENT ESPECÍFIC                              ,   ,9    ,1     ,23844,0,23844,11595.99
2017,12.  ,9231 ,151    ,GRATIFICACIÓ SERVEIS FUNCIONARIS                  ,   ,9    ,1     ,56,0,56,0
2017,12.  ,9231 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,15343,0,15343,8273.14
2017,12.  ,924  ,22705  ,DESPESES ELECCIONS                                ,12 ,92   ,22    ,15000,0,15000,0
2017,12.  ,925  ,12004  ,SOUS DEL GRUP C2                                  ,   ,9    ,1     ,74352,0,74352,36043.12
2017,12.  ,925  ,12005  ,SOUS DEL GRUP E                                   ,   ,9    ,1     ,15511,0,15511,7644.65
2017,12.  ,925  ,12006  ,TRIENNIS                                          ,   ,9    ,1     ,16115,0,16115,7605.53
2017,12.  ,925  ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,   ,9    ,1     ,42982,0,42982,20644.86
2017,12.  ,925  ,12101  ,COMPLEMENT ESPECÍFIC                              ,   ,9    ,1     ,130622,0,130622,66784.81
2017,12.  ,925  ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,   ,9    ,1     ,68054,0,68054,33960.57
2017,12.  ,925  ,13001  ,HORES EXTRAORDINÀRIES PERSONAL LABORAL FIX        ,   ,9    ,1     ,359,0,359,0
2017,12.  ,925  ,151    ,GRATIFICACIÓ SERVEIS FUNCIONARIS                  ,   ,9    ,1     ,128,0,128,39.75
2017,12.  ,925  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,92468,0,92468,47871.63
2017,12.  ,929  ,22699  ,"DESP DIVERSES, INDEMNITZACIONS, ETC               ",12 ,92   ,22    ,45000,0,45000,5692.4
2017,12.  ,929  ,226991 ,ALTRES DESPESES GENERALS                          ,12 ,92   ,22    ,100000,0,100000,9451.7
2017,12.  ,931  ,12000  ,SOUS DEL GRUP A1                                  ,   ,9    ,1     ,29649,0,29649,14712.2
