#Ejercicio,Org.,Econ.,Denominación (castellano),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2017,     ,34901  ,HUERTOS LÚDICOS                                      ,15000,0,15000,10185
2017,     ,34902  ,SERVICIOS CULTURALES,1000,0,1000,0
2017,     ,34903  ,SERVICIOS CULTURALES TEATRE MODERN                   ,6,31461.13,31467.13,31941.83
2017,     ,34904  ,SERVICIOS PROMOCIÓN ECONÓMICA                        ,3000,0,3000,6047.68
2017,     ,34905  ,SERVICIOS/ACTIVIDADES MEDIO AMBIENTE (ACTIVIDADES)      ,39000,0,39000,24336
2017,     ,36000  ,VENTA MATERIAL RECHAZO                         ,3000,0,3000,2103
2017,     ,36001  ,VENTA DE PUBLICACIONES                             ,100,0,100,40.32
2017,     ,36002  ,VENTA DE ELECTRICIDAD                             ,45000,0,45000,13682.32
2017,     ,36003  ,"PRESTACIÓN SERVICIOS MEDIO AMBIENTE (PAPEL, VIDRIO, CART",330000,0,330000,206903.71
2017,     ,389    ,REINTEGROS PRESUPUESTOS CERRADOS          ,5000,0,5000,95490.37
2017,     ,38901  ,REINTEGROS ANUNCIOS                            ,5000,0,5000,9996.56
2017,     ,39100  ,MULTAS INFRACCIONES URBANISTICAS           ,10000,0,10000,17251.2
2017,     ,39120  ,MULTAS CIRCULACIÓN                                 ,500000,0,500000,582110
2017,     ,39190  ,OTRAS MULTAS Y SANCIONES                          ,50000,0,50000,88586.36
2017,     ,39200  ,RECARGO DECLARACION EXTEMPORÁNEA                  ,7000,0,7000,331.56
2017,     ,39211  ,RECARGO APREMIO,36000,0,36000,17863.58
2017,     ,393    ,INTERESES DE DEMORA                              ,55000,0,55000,63305.23
2017,     ,398    ,INDEMNIZACIONES DE SEGUROS NO VIDA     ,90000,0,90000,41609.11
2017,     ,399    ,OTROS INGRESOS DIVERSOS                          ,100000,0,100000,34599.92
2017,     ,39901  ,OTROS INGRESOS EJECUCIONES SUBSIDIARIAS           ,6,27139.91,27145.91,29303.54
2017,     ,42000  ,PARTICIPACIÓN EN TRIBUTOS DEL ESTADO                ,14700000,0,14700000,6876190.22
2017,     ,45000  ,FONDO COOPERACIÓN LOCAL CATALUÑA                   ,388343,0,388343,387634.14
2017,     ,45001  ,OTRAS TRANSFERENCIAS DE LA GENERALITAT           ,66288,0,66288,307211.81
2017,     ,45002  ,SUBV. GENERALITAT SERVICIOS SOCIALES/IGUALDAD        ,1925000,0,1925000,1356037.77
2017,     ,45030  ,SUBV. GENERALITAT EDUCACIÓN                        ,1000,0,1000,0
2017,     ,45050  ,SUBV. GENERALITAT OCUPACIÓN-DESARROLLO LOCAL  ,6,1116606.91,1116612.91,1149292.16
2017,     ,450801 ,SUBV. GENERALITAT SANIDAD-CONSUMO                  ,1000,0,1000,0
2017,     ,450802 ,SUBVENCIONES GENERALITAT CULTURA-JUVENTUD          ,1800,0,1800,0
2017,     ,450803 ,SUBVENCIONES GENERALITAT TURISMO,32522,0,32522,40559.81
2017,     ,45300  ,"DE SOCIEDADES, ENTES PUBLICOS Y OTROS DEPENDIENTES CCAA ",10000,0,10000,9135
2017,     ,46100  ,SUBVENCIONES DIPUTACIÓN                             ,100000,0,100000,0
2017,     ,46101  ,SUBV. DIPUTACIÓN FORMACIÓN-OCUPACIÓN                 ,6,278982.97,278988.97,440333.33
2017,     ,46102  ,SUBV. DIPUTACIÓN SERVICIOS SOCIALES                   ,415336,0,415336,309619.95
2017,     ,46103  ,SUBV. DIPUTACIÓN EDUCACIÓN,92755,0,92755,93965.91
2017,     ,46104  ,SUBV. DIPUTACIÓN DEPORTES                           ,23958,0,23958,20958
2017,     ,46105  ,SUBV. DIPUTACIÓN SALUD PÚBLICA                     ,164165,0,164165,122040.52
2017,     ,46106  ,"SUBV. DIPUTACIÓN, CULTURA-JUVENTUD                 ",13100,0,13100,17350
2017,     ,46107  ,SUBV. DIPUTACIÓN MEDIO AMBIENTE                      ,8479,0,8479,0
2017,     ,46108  ,SUBV DIPUTACIÓN PROMOCIÓN MUJER,33245,0,33245,42245
2017,     ,46109  ,SUBV DIPUTACIÓN PROGRAMA COMPLEMENTARIO SOPORTE      ,158664,0,158664,0
2017,     ,462    ,TRANSFERENCIAS CORRIENTES DE AYUNTAMIENTOS             ,6,0,6,0
2017,     ,464    ,TRANSFERENCIAS CORRIENTES DE AREAS METROPOLITANAS    ,295000,312563.9,607563.9,339625.44
2017,     ,465    ,TRANSFERENCIAS CORRIENTES ENTES COMARCALES             ,6,0,6,0
2017,     ,470    ,SUBVENCIONES DE EMPRESAS                            ,5000,0,5000,20000
2017,     ,480    ,SUBVENCIONES FORMACIÓN Y OCUPACIÓN                   ,6,48295.78,48301.78,48301.78
2017,     ,490    ,SUBV. FONDO SOCIAL EUROPEO                         ,6,0,6,0
2017,     ,514    ,INTERESES DE SOCIEDADES MERCANTILES                ,52899,0,52899,26844.27
2017,     ,52     ,INTERESES DE DEPÓSITOS                            ,250000,0,250000,85223.41
2017,     ,541    ,PRODUCTO ALQUILERES INMUEBLES                    ,3600,0,3600,0
2017,     ,550    ,CONCESIONES ADMINISTRATIVAS                       ,214000,0,214000,119260.53
2017,     ,761    ,TRANSF CAPITAL DIPUTACIÓN DE BARCELONA             ,1764221,0,1764221,241065.91
2017,     ,764    ,TRANSF CAPITAL AREA METROPOLITANA DE BARCELONA    ,2457814,0,2457814,33250
2017,     ,82120  ,REINTEGRO PRÉSTAMOS SECTOR PÚBLICO LOCAL        ,315814,0,315814,157907.48
2017,     ,830    ,ANTICIPOS REINTEGRABLES PERSONAL                  ,1000,8000,9000,10150.57
2017,     ,603    ,VENTA DE PATRIMONIO                                ,0,0,0,854.95
2017,     ,32903  ,OTRAS TASAS REALIZACIÓN ACT. COMPETENCIA LOCAL   ,0,0,0,40735.8
2017,     ,441    ,TRANSFERENCIAS DE EMPRESAS ENTIDAD LOCAL           ,0,6800,6800,6800
