#Ejercicio,Org.,Prog.,Econ.,Denominación (cast.),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de crècido,m,Obligaciones reconegudes
2023,061  ,342  ,227993 ,CONTR PREST SERVICIOS CM VELA,061,34   ,22    ,13500,1932.18,,1932.18
2023,061  ,342  ,48904  ,"CONVENIO CP PRAT, GESTIÓN PISTA JARDINS RIB",061,342  ,48904 ,17000,6800,,6800
2023,012  ,9209 ,12006  ,TRIENIOS,,9    ,1     ,11281,0,,2179.26
2023,011  ,336  ,22609  ,CONSERVACIÓN Y RESTAURACIÓN DOCUMENTACIÓN,011,33   ,22    ,9600,0,,0
2023,011  ,336  ,227993 ,SUPORT ARXIVÍSTIC - ORGANITZACIÓ DIPÒSITS,011,33   ,22    ,14400,0,,0
2023,011  ,491  ,4491   ,APORT. PRAT COMUNICACIÓ SL                        ,011,491  ,4491  ,842738,0,,200000
2023,011  ,912  ,10000  ,RETRIBUCIONES BÁSICAS ÓRGANOS DE GOBIERNO,,9    ,1     ,75505,0,,15945.06
2023,011  ,912  ,16000  ,CUOTAS SEGURIDAD SOCIAL,,9    ,1     ,17560,0,,2971.54
2023,011  ,912  ,23000  ,ÓRGANOS DE GOBIERNO-DIETAS,011,91   ,23    ,1500,0,,168.1
2023,011  ,9201 ,11000  ,RETRIBUCIONES BÁSICAS PERSONAL EVENTUAL,,9    ,1     ,196176,0,,42162.66
2023,011  ,9201 ,12000  ,SUELDOS DEL GRUPO A1,,9    ,1     ,10230,0,,0
2023,011  ,9201 ,12003  ,SUELDOS DEL GRUPO C1,,9    ,1     ,11483,0,,2509.23
2023,011  ,9201 ,12004  ,SUELDOS DEL GRUPO C2,,9    ,1     ,19467,0,,4176.78
2023,011  ,9201 ,12006  ,TRIENIOS,,9    ,1     ,11715,0,,2491.95
2023,011  ,9201 ,12100  ,COMPLEMENTO DE DESTINO,,9    ,1     ,21302,0,,3345.66
2023,011  ,9201 ,12101  ,COMPLEMENTO ESPECÍFICO,,9    ,1     ,63235,0,,10481.55
2023,011  ,9201 ,13000  ,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,,9    ,1     ,111855,0,,24002.58
2023,011  ,9201 ,16000  ,CUOTAS SEGURIDAD SOCIAL,,9    ,1     ,103864,0,,16031.08
2023,011  ,9201 ,226011 ,ATENCIONES PROTOCOLARIAS,011,92   ,22    ,50000,0,,2233.45
2023,011  ,9201 ,22699  ,GASTOS DIVERSOS ALCALDÍA,011,92   ,22    ,11000,0,,325.8
2023,011  ,9201 ,489    ,TRANSF CORRIENTES ALCALDÍA,011,9201 ,489   ,3000,0,,0
2023,011  ,9202 ,11000  ,RETRIBUCIONES BÁSICAS PERSONAL EVENTUAL,,9    ,1     ,74878,0,,16045.17
2023,011  ,9202 ,12001  ,SUELDOS DEL GRUPO A2,,9    ,1     ,59971,0,,11776.36
2023,011  ,9202 ,12003  ,SUELDOS DEL GRUPO C1,,9    ,1     ,11483,0,,2509.23
2023,011  ,9202 ,12006  ,TRIENIOS,,9    ,1     ,8427,0,,1616.25
2023,011  ,9202 ,12100  ,COMPLEMENTO DE DESTINO,,9    ,1     ,33704,0,,6604.26
2023,011  ,9202 ,12101  ,COMPLEMENTO ESPECÍFICO,,9    ,1     ,75193,0,,14820.05
2023,032  ,170  ,489    ,TRANSF CORRIENTES EDUC PROM AMBIENTAL,032,170  ,489   ,6000,4200,,2600
2023,032  ,170  ,48904  ,TRANSF CORRIENTE CRAM,032,170  ,48904 ,30000,12000,,12000
2023,032  ,170  ,48905  ,TRANSF CORRIENTES ACCIÓN AMBIENTAL AGRUP FOTOGRÁFICA,032,170  ,48905 ,2500,0,,0
2023,032  ,1721 ,12000  ,SUELDOS DEL GRUPO A1,,1    ,1     ,17050,0,,3864.93
2023,032  ,1721 ,12006  ,TRIENIOS,,1    ,1     ,5340,0,,1209.27
2023,032  ,1721 ,12100  ,COMPLEMENTO DE DESTINO,,1    ,1     ,8292,0,,1776.81
2023,032  ,1721 ,12101  ,COMPLEMENTO ESPECÍFICO,,1    ,1     ,14242,0,,3051.66
2023,032  ,1721 ,13000  ,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,,1    ,1     ,30200,0,,6367.38
2023,032  ,1721 ,16000  ,CUOTAS SEGURIDAD SOCIAL,,1    ,1     ,25136,0,,4303.79
2023,032  ,1721 ,22199  ,GESTIÓN-ESPACIOS NATURALES,032,17   ,22    ,23400,0,,302.25
2023,032  ,1722 ,22601  ,GASTOS DIVERSOS,032,17   ,22    ,450,0,,150
2023,032  ,1722 ,22701  ,ESTUDIOS Y TRABAJOS TÉCNICOS,032,17   ,22    ,48500,0,,0
2023,032  ,1722 ,227992 ,DESPLIEGUE OFICINA DE ENERGIA Y CLIMA,032,17   ,22    ,135000,0,,10416.72
2023,032  ,1722 ,467    ,APORT CONSORCIO ESPACIOS NATURALES DEL DELTA,032,1722 ,467   ,60000,0,,15000
2023,032  ,1722 ,479    ,LINEA AYUDAS MOVILIDAD DESCARBONIZADA EMPRESA,032,1722 ,479   ,30000,0,,0
2023,032  ,2311 ,4892   ,LINEA AYUDAS VULNERABILIDAD ENERGÉTICA,032,2311 ,4892  ,1,0,,0
2023,032  ,2311 ,4893   ,LÍNEA AYUDAS ARREGLOS ENERGÍA DOMICILIOS VULNERABLES,032,2311 ,4893  ,1,0,,0
2023,032  ,419  ,22199  ,SUMINISTROS DIVERSOS AGRICULTURA,032,41   ,22    ,15000,0,,0
2023,032  ,419  ,22602  ,PUBLICIDAD Y DIFUSIÓN AGRICULTURA,032,41   ,22    ,4204,0,,0
2023,032  ,419  ,22699  ,GASTOS DIVERSOS AGRICULTURA,032,41   ,22    ,500,0,,0
2023,032  ,419  ,2279901,ESTRATEGIA ALIMENTACIÓN SOSTENIBLE,032,41   ,22    ,7100,0,,0
2023,061  ,3421 ,12000  ,SUELDOS DEL GRUPO A1,,3    ,1     ,17050,0,,3864.93
2023,061  ,3421 ,12001  ,SUELDOS DEL GRUPO A2,,3    ,1     ,29986,0,,6683.88
2023,061  ,3421 ,12003  ,SUELDOS DEL GRUPO C1,,3    ,1     ,11483,0,,2509.23
2023,061  ,3421 ,12004  ,SUELDOS DEL GRUPO C2,,3    ,1     ,9734,0,,2088.39
2023,061  ,3421 ,12005  ,SUELDOS DEL GRUPO E,,3    ,1     ,44600,0,,9557.09
2023,061  ,3421 ,12006  ,TRIENIOS,,3    ,1     ,22661,0,,4830.38
2023,061  ,3421 ,120099 ,RETRIBUCIONES BÁSICAS SUPLENCIAS,,3    ,1     ,14620,0,,3247.11
2023,061  ,3421 ,12100  ,COMPLEMENTO DE DESTINO,,3    ,1     ,50016,0,,10717.53
2023,061  ,3421 ,12101  ,COMPLEMENTO ESPECÍFICO,,3    ,1     ,134223,0,,28761.93
2023,061  ,3421 ,121031 ,OTROS COMPLEMENTOS,,3    ,1     ,4575,0,,1569.1
2023,061  ,3421 ,121039 ,RETRIBUCIONES COMPLEMENTARIAS SUPLENCIAS,,3    ,1     ,27710,0,,6512.57
2023,061  ,3421 ,13000  ,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,,3    ,1     ,160896,0,,34433.76
2023,061  ,3421 ,13001  ,HORAS EXTRAORDINARIAS PERSONAL LABORAL FIJO,,3    ,1     ,3755,0,,278.84
2023,061  ,3421 ,13002  ,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,,3    ,1     ,7565,0,,1913.66
2023,061  ,3421 ,13199  ,RETRIBUCIONES PERSONAL LABORAL TEMPORAL-SUPLENCIAS,,3    ,1     ,14000,0,,0
2023,061  ,3421 ,151    ,GRATIFICACIÓN SERVICIOS FUNCIONARIOS,,3    ,1     ,4140,0,,2201.58
2023,061  ,3421 ,16000  ,CUOTAS SEGURIDAD SOCIAL,,3    ,1     ,171097,0,,30330.18
2023,061  ,3421 ,212    ,MANTENIMIENTO OTRAS INSTALACIONES DEPORTIVAS,061,34   ,21    ,245000,3727.32,,17683.02
2023,061  ,3421 ,22100  ,CONSUMO AGUA DEPORTES,061,34   ,22    ,218697,12697.33,,57964.48
2023,061  ,3421 ,22102  ,VESTUARIO PERSONAL DEPORTES,061,34   ,22    ,359921,82960.27,,6317.03
2023,061  ,3421 ,22700  ,DEPORTES-SUBM. DIVERSOS MATERIAL,061,34   ,22    ,725912,0,,55873.17
2023,061  ,3423 ,12001  ,SUELDOS DEL GRUPO A2,,3    ,1     ,14993,0,,3341.94
2023,061  ,3423 ,12005  ,SUELDOS DEL GRUPO E,,3    ,1     ,53520,0,,11659.65
2023,061  ,3423 ,12006  ,TRIENIOS,,3    ,1     ,7619,0,,1508.1
2023,061  ,3423 ,120099 ,RETRIBUCIONES BÁSICAS SUPLENCIAS,,3    ,1     ,14620,0,,3970.58
2023,072  ,327  ,48905  ,"TRANS CORRIENTES ""FONS CATALÀ DE COOPERACIÓ""",072,327  ,48905 ,33000,9076,,476
2023,012  ,920  ,227062 ,ESTUDIOS Y TRABAJOS TÉCNICOS TIC,012,92   ,22    ,220000,3872,,4888.4
2023,051  ,2412 ,226992 ,GASTOS VARIOS-OCUPACIÓN,051,24   ,22    ,1000,0,,570.25
2023,011  ,9202 ,13000  ,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,,9    ,1     ,35520,0,,7676.16
2023,011  ,9202 ,16000  ,CUOTAS SEGURIDAD SOCIAL,,9    ,1     ,87204,0,,13621.16
2023,011  ,9202 ,226023 ,COMUNICACIÓN Y DIFUSIÓN,011,92   ,22    ,256762,16056.51,,19323.19
2023,011  ,9202 ,227994 ,CONTR PREST SERVICIOS AUDIOVISUALES,011,92   ,22    ,150000,0,,0
2023,011  ,9202 ,227995 ,CONT PREST SERVICIOS GRÁFICOS Y DE COMUNICACIÓN,011,92   ,22    ,65000,0,,6207.3
2023,011  ,9203 ,12000  ,SUELDOS DEL GRUPO A1,,9    ,1     ,17050,0,,3864.93
2023,011  ,9203 ,12003  ,SUELDOS DEL GRUPO C1,,9    ,1     ,11483,0,,2509.23
2023,011  ,9203 ,12004  ,SUELDOS DEL GRUPO C2,,9    ,1     ,19467,0,,4176.78
2023,011  ,9203 ,12006  ,TRIENIOS,,9    ,1     ,11255,0,,2487.39
2023,011  ,9203 ,12100  ,COMPLEMENTO DE DESTINO,,9    ,1     ,30638,0,,6565.08
2023,011  ,9203 ,12101  ,COMPLEMENTO ESPECÍFICO,,9    ,1     ,113893,0,,24405.63
2023,011  ,9203 ,16000  ,CUOTAS SEGURIDAD SOCIAL,,9    ,1     ,38936,0,,6713.52
2023,012  ,011  ,359    ,OTROS GASTOS FINANCIEROS,012,01   ,35    ,50000,0,,2198.91
2023,012  ,161  ,467    ,TRANSF CONGIAC                                    ,012,161  ,467   ,11400,0,,0
2023,012  ,221  ,16205  ,SEGURO VIDA Y ACCIDENTES,,2    ,1     ,96933,0,,0
2023,012  ,221  ,164    ,AYUDA FAMILIAR ,,2    ,1     ,32000,0,,5309.8
2023,012  ,912  ,10000  ,RETRIBUCIONES BÁSICAS ÓRGANOS DE GOBIERNO,,9    ,1     ,191005,0,,40929.51
2023,012  ,912  ,10001  ,OTRAS REMUNERACIONES - ASISTENCIA PLENOS,,9    ,1     ,81888,0,,20455.06
2023,012  ,912  ,16000  ,CUOTAS SEGURIDAD SOCIAL,,9    ,1     ,58687,0,,9957.6
2023,012  ,912  ,487    ,TRANSF CORRIENTES FUNDACIÓN CATALUÑA EUROPEA,012,912  ,487   ,10000,0,,0
2023,012  ,912  ,489    ,TRANSF CORRIENTES GRUPOS MUNICIPALES,012,912  ,489   ,180000,0,,45000
2023,012  ,920  ,202    ,ALQUILERES VARIOS,012,92   ,20    ,300000,0,,67188.37
2023,012  ,920  ,216    ,MANTENIMIENTO EQUIPOS INFORMÁTICOS/PROGRAMARIO,012,92   ,21    ,570000,70212.65,,49379.14
2023,032  ,419  ,46601  ,CUOTA MIEMBRO ASOC RED DE CIUDADES POR LA AGRC,032,419  ,46601 ,1000,0,,0
2023,032  ,419  ,48901  ,TRANSF CORRIENTE PARQUE AGRARIO,032,419  ,48901 ,21000,0,,21000
2023,032  ,419  ,48902  ,"TRANSF CORRIENTE ""ESPIGOLADORS""",032,419  ,48902 ,12000,4800,,4800
2023,032  ,419  ,48904  ,CONVENIO FUNDESPLAI EXPOSICIÓN ALIMENTACIÓN,032,419  ,48904 ,15000,6000,,6000
2023,032  ,419  ,48905  ,TRANSF CORRIENTES AMIGOS DEL CABALLOS (AMIGOS DEL PRAT),032,419  ,48905 ,15000,0,,9000
2023,032  ,419  ,48906  ,TRANSF CORRIENTES AMIGOS DEL PRAT ENCUENTRO DE LA TARTANA,032,419  ,48906 ,4000,0,,0
2023,041  ,320  ,22602  ,PUBLICIDAD DIFUSIÓN PROM ESCOLAR,041,32   ,22    ,2329,0,,0
2023,041  ,3200 ,12000  ,SUELDOS DEL GRUPO A1,,3    ,1     ,17050,0,,0
2023,041  ,3200 ,12001  ,SUELDOS DEL GRUPO A2,,3    ,1     ,44978,0,,8155.93
2023,041  ,3200 ,12003  ,SUELDOS DEL GRUPO C1,,3    ,1     ,11483,0,,2509.23
2023,041  ,3200 ,12004  ,SUELDOS DEL GRUPO C2,,3    ,1     ,38933,0,,7211.14
2023,041  ,3200 ,12006  ,TRIENIOS,,3    ,1     ,19687,0,,4253.54
2023,041  ,3200 ,12100  ,COMPLEMENTO DE DESTINO,,3    ,1     ,54322,0,,8971.64
2023,041  ,3200 ,12101  ,COMPLEMENTO ESPECÍFICO,,3    ,1     ,127988,0,,22502.08
2023,041  ,3200 ,16000  ,CUOTAS SEGURIDAD SOCIAL,,3    ,1     ,87344,0,,8537.97
2023,041  ,3202 ,12000  ,SUELDOS DEL GRUPO A1,,3    ,1     ,17050,0,,3864.93
2023,041  ,3202 ,12001  ,SUELDOS DEL GRUPO A2,,3    ,1     ,90094,0,,20051.64
2023,041  ,3202 ,12006  ,TRIENIOS,,3    ,1     ,15221,0,,3308.49
2023,041  ,3202 ,12100  ,COMPLEMENTO DE DESTINO,,3    ,1     ,46891,0,,10032.18
2023,041  ,3202 ,12101  ,COMPLEMENTO ESPECÍFICO,,3    ,1     ,96447,0,,20634.15
2023,041  ,3202 ,13000  ,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,,3    ,1     ,38306,0,,8370.39
2023,041  ,3202 ,16000  ,CUOTAS SEGURIDAD SOCIAL,,3    ,1     ,93959,0,,15913.83
2023,041  ,323  ,226991 ,GASTOS DIVERSOS MEJORA ENSEÑANZA PÚBLICA,041,32   ,22    ,1000,0,,0
2023,041  ,323  ,227992 ,PREST. SERVICIOS ESCUELAS BARRIO SANT COSME,041,32   ,22    ,33272,0,,5552.56
2023,041  ,3231 ,12001  ,SUELDOS DEL GRUPO A2,,3    ,1     ,74964,0,,16709.7
2023,061  ,3423 ,12100  ,COMPLEMENTO DE DESTINO,,3    ,1     ,27786,0,,6029.07
2023,061  ,3423 ,12101  ,COMPLEMENTO ESPECÍFICO,,3    ,1     ,87843,0,,19070.16
2023,061  ,3423 ,121031 ,OTROS COMPLEMENTOS,,3    ,1     ,5030,0,,1330.59
2023,061  ,3423 ,121039 ,RETRIBUCIONES COMPLEMENTARIAS SUPLENCIAS,,3    ,1     ,27710,0,,7098.13
2023,061  ,3423 ,13000  ,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,,3    ,1     ,231165,0,,43394.97
2023,061  ,3423 ,13001  ,HORAS EXTRAORDINARIAS PERSONAL LABORAL FIJO,,3    ,1     ,5600,0,,2515.14
2023,061  ,3423 ,13002  ,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,,3    ,1     ,4075,0,,1645.6
2023,061  ,3423 ,13199  ,RETRIBUCIONES PERSONAL LABORAL TEMPORAL-SUPLENCIAS,,3    ,1     ,14000,0,,360.11
2023,061  ,3423 ,151    ,GRATIFICACIÓN SERVICIOS FUNCIONARIOS,,3    ,1     ,5625,0,,3023.54
2023,061  ,3423 ,16000  ,CUOTAS SEGURIDAD SOCIAL,,3    ,1     ,159932,0,,28213.31
2023,061  ,3423 ,212    ,RETRIBUCIONES COMPLEMENTARIAS SUPLENCIAS,061,34   ,21    ,160000,3910.42,,11755.14
2023,061  ,3423 ,22100  ,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,061,34   ,22    ,162685,3706.3,,21524.53
2023,061  ,3423 ,22102  ,HORAS EXTRAORDINARIAS PERSONAL LABORAL FIJO,061,34   ,22    ,474489,112811.68,,5
2023,061  ,3423 ,22700  ,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,061,34   ,22    ,602166,0,,45697.48
2023,061  ,3424 ,22100  ,RETRIBUCIONES PERSONAL LABORAL TEMPORAL-SUPLENCIAS,061,34   ,22    ,27205,1210.65,,0
2023,061  ,3424 ,22102  ,GRATIFICACIÓN SERVICIOS FUNCIONARIOS,061,34   ,22    ,69527,9105.6,,2.5
2023,061  ,3424 ,227991 ,CUOTAS SEGURIDAD SOCIAL,061,34   ,22    ,476135,0,,87598.92
2023,061  ,3425 ,22100  ,CEMS CONSERVACIÓN Y REPARACIÓN,061,34   ,22    ,71282,0,,17727.13
2023,061  ,3425 ,22102  ,ELECTRICIDAD CEMS,061,34   ,22    ,224424,53314.71,,7
2023,061  ,3425 ,227991 ,CONSUMO GAS CEMS,061,34   ,22    ,753830,132.87,,58669.23
2023,061  ,912  ,10000  ,RETRIBUCIONES BÁSICAS ÓRGANOS DE GOBIERNO,,9    ,1     ,64653,0,,13854.12
2023,061  ,912  ,16000  ,CUOTAS SEGURIDAD SOCIAL,,9    ,1     ,17560,0,,2971.54
2023,062  ,311  ,212    ,SUELDOS DEL GRUPO E,062,31   ,21    ,13355,0,,0
2023,062  ,311  ,22100  ,TRIENIOS,062,31   ,22    ,14048,1118.33,,4074.37
2023,012  ,920  ,23010  ,DIETAS PERSONAL DIRECTIVO,012,92   ,23    ,1000,0,,0
2023,012  ,920  ,23110  ,LOCOMOCIÓN PERSONAL DIRECTIVO,012,92   ,23    ,1000,0,,0
2023,061  ,342  ,227991 ,CONTR PREST SERVICIOS DEPORTES,061,34   ,22    ,955000,0,,159369.36
2023,031  ,336  ,609    ,INV NOVA PROYECTOS PARTICIPATIVOS EN INFRAESTRUCTURAS,031,336  ,609   ,0,93227.88,,0
2023,012  ,920  ,22000  ,MATERIAL DE OFICINA,012,92   ,22    ,125000,1661.65,,18471.32
2023,012  ,920  ,22002  ,MATERIAL INFORMÁTICO NO INVENTARIABLE,012,92   ,22    ,172000,4937.09,,6675.37
2023,012  ,920  ,22104  ,VESTUARIO,012,92   ,22    ,20000,0,,140
2023,012  ,920  ,22199  ,MATERIAL DIVERSO - PREVENCIÓN RIESGOS LABORALES,012,92   ,22    ,30000,1045.02,,1195.02
2023,012  ,920  ,22200  ,SERVICIOS COMUNICACIÓN TELECOMUNICACIONES,012,92   ,22    ,175000,774.46,,774.46
2023,012  ,920  ,22201  ,SERVICIOS COMUNICACIÓN POSTALES,012,92   ,22    ,120000,0,,0
2023,012  ,920  ,224    ,SEGUROS,012,92   ,22    ,266928,0,,194.31
2023,012  ,920  ,22500  ,TRIBUTOS ESTATALES (Impuesto producción eléctrica),012,92   ,22    ,1000,0,,0
2023,012  ,920  ,22502  ,TRIBUTOS DE LAS ENTIDADES LOCALES,012,92   ,22    ,12000,0,,7172.22
2023,012  ,920  ,22602  ,"ANUNCIOS, PUBLICACIONES, ETC.",012,92   ,22    ,15000,0,,2141.7
2023,012  ,920  ,22603  ,ANUNCIOS DIARIOS OFICIALES,012,92   ,22    ,15000,0,,0
2023,012  ,920  ,22604  ,GASTOS DEFENSA JURÍDICA Y REGISTRAL,012,92   ,22    ,60000,0,,20252.14
2023,012  ,920  ,227061 ,ESTUDIOS Y TRABAJOS TÉCNICOS,012,92   ,22    ,100000,876.23,,2628.69
2023,012  ,920  ,227063 ,OFICINA TÉCNICA DESARROLLO PROGRAMARIO SITIC,012,92   ,22    ,300000,54416.01,,68790.81
2023,012  ,920  ,227064 ,ESTUDIOS Y TRABAJOS TÉCNICOS SERV CENTRALES Y ECONOMÍA,012,92   ,22    ,70000,0,,0
2023,012  ,920  ,22799  ,CONTR PRESTACIÓN DE SERVICIOS,012,92   ,22    ,258000,1331,,5159.7
2023,012  ,920  ,227991 ,"PREST SERV INNOV DIGITAL, CALIDAD Y PROY ESTRATÉG",012,92   ,22    ,105000,0,,0
2023,012  ,920  ,227992 ,CONTR PREST SERVICIOS SITIC,012,92   ,22    ,215000,5538.27,,20348.27
2023,012  ,920  ,227993 ,CONTR PRESTACIÓN SERVICIO LOGÍSTICA,012,92   ,22    ,15000,0,,0
2023,012  ,920  ,23020  ,DIETAS PERSONAL NO DIRECTIVO,012,92   ,23    ,3000,0,,920.06
2023,012  ,920  ,23120  ,LOCOMOCIÓN PERSONAL NO DIRECTIVO,012,92   ,23    ,5000,155.05,,4289.52
2023,012  ,920  ,233    ,ASISTENCIA TRIBUNALES,012,92   ,23    ,5000,0,,70.02
2023,021  ,1531 ,609    ,INV NUEVA INFRAESTRUCTURA Y BIENES USO GRAL,021,1531 ,609   ,0,5829.69,,0
2023,041  ,3231 ,12003  ,SUELDOS DEL GRUPO C1,,3    ,1     ,26411,0,,4146.91
2023,041  ,3231 ,12004  ,SUELDOS DEL GRUPO C2,,3    ,1     ,1947,0,,0
2023,041  ,3231 ,12006  ,TRIENIOS,,3    ,1     ,21567,0,,4125.39
2023,041  ,3231 ,120099 ,RETRIBUCIONES BÁSICAS SUPLENCIAS,,3    ,1     ,5510,0,,2509.23
2023,041  ,3231 ,12101  ,COMPLEMENTO ESPECÍFICO,,3    ,1     ,114290,0,,22433.68
2023,041  ,3231 ,121039 ,RETRIBUCIONES COMPLEMENTARIAS SUPLENCIAS,,3    ,1     ,7470,0,,3392.34
