#Ejercicio,Org.,Econ.,Denominació (cat),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2023,,45001  ,ALTRES TRANSFERÈNCIES DE LA GENERALITAT           ,203478,104053.61,307531.61,263369.98
2023,,45002  ,SUBV. GENERALITAT SERVEIS SOCIALS/IGUALTAT        ,1385681,0,1385681,1787568.13
2023,,45003  ,SUBV. GENERALITAT ACCIO SOCIAL - SAD DEPENDÈNCIA  ,1104679,0,1104679,728175.51
2023,,45004  ,SUBV. GENERALITAT ACCIO SOCIAL - SUPORT SOCIAL    ,81259,0,81259,-33542.43
2023,,45005  ,SUBV. GENERALITAT ACCIO SOCIAL - SERVEI ATENCIO DO,70520,0,70520,70520.12
2023,,45006  ,SUBV. GENERALITAT ACCIO SOCIAL - ATENCIÓ PERS SENS,266539,0,266539,179914.14
2023,,45007  ,SUBV. GENERALITAT ACCIO SOCIAL - SAD SOCIAL       ,283354,0,283354,0
2023,,45030  ,SUBV. GENERALITAT EDUCACIÓ                        ,1473037,0,1473037,1480361.29
2023,,45050  ,SUBV. GENERALITAT OCUPACIÓ-DESENVOLUPAMENT LOCAL  ,6,2014798.81,2014804.81,1977924.59
2023,,450802 ,SUBVENCIONS GENERALITAT CULTURA-JOVENTUT          ,495928,0,495928,474006.17
2023,,450803 ,SUBVENCIONS GENERALITAT TURISME                   ,78189,0,78189,167543.95
2023,,602    ,PARCEL·LES SOBRANTS DE LA VIA PUBLICA             ,0,0,0,3092.47
2023,,45102  ,SUBV. DE L'AGENCIA D'HABITATGE DE CATALUNYA       ,6,0,6,84909.95
2023,,830    ,BESTRETES REINTEGRABLES PERSONAL                  ,60000,0,60000,37710.66
2023,,549    ,ALTRES RENDES DE BENS IMMOBLES                    ,0,0,0,63079.78
2023,,720    ,TRANSFERENCIES DE CAPITAL ADMIN GENERAL DE L'ESTAT,0,0,0,3873112.5
2023,,797    ,"FONS NEXT GENERATION EU. PLA RECUPERACIO, TRANSF I",0,5351771.97,5351771.97,0
2023,,87000  ,ROMANENT TRESORERIA DESPESES GENERALS             ,0,41690189.64,41690189.64,0
2023,,870100 ,ROMANENT TRESORERIA DESPESES FINANÇAMET AFECTAT   ,0,758970.37,758970.37,0
2023,,870101 ,ROMANENT TRESORERIA AFECTADA AL PATRIMONI MPAL SÒL,0,711415.91,711415.91,0
2023,,600    ,VENDA DE SOLARS                                   ,0,0,0,199428.1
2023,,87010  ,ROMANENT PER DESPESES AFECTADES                   ,0,2178099.62,2178099.62,0
2023,,45300  ,"SUBV.SOCIETATS, ENS PÚBLICS I ALTRES DEPENENTS CCA",6,0,6,0
2023,,46100  ,SUBVENCIONS DIPUTACIO                             ,73717,0,73717,584402.98
2023,,46101  ,SUBV. DIPUTACIÓ FORMACIÓ-OCUPACIÓ                 ,6,225260,225266,351080.79
2023,,46102  ,SUBV. DIPUTACIÓ SERVEIS SOCIALS                   ,629770,0,629770,1424620.39
2023,,46103  ,SUBV. DIPUTACIÓ EDUCACIÓ                          ,115569,0,115569,149234.81
2023,,46104  ,SUBV. DIPUTACIÓ ESPORTS                           ,46925,0,46925,40280.42
2023,,46105  ,SUBV. DIPUTACIÓ SALUT PUBLICA                     ,162394,0,162394,199475.38
2023,,46106  ,"SUBV. DIPUTACIÓ, CULTURA-JOVENTUT                 ",129367,0,129367,136900.97
2023,,46107  ,SUBV. DIPUTACIÓ MEDI AMBIENT                      ,6,0,6,16751.62
2023,,46108  ,"SUBV. DIPUTACIÓ CONVIVÈNCIA, CIVISME, COOP, FEMINI",91686,0,91686,136763.35
2023,,46109  ,SUBV DIPUTACIÓ PROGRAMA COMPLEMENTARI SUPORT      ,6,0,6,0
2023,,46110  ,SUBV. DIPUTACIÓ - HABITATGE                       ,6,0,6,69896.12
2023,,462    ,TRANSFERENCIES CORRENTS D'AJUNTAMENTS             ,6,0,6,43875
2023,,4641   ,TRANSF CORRENTS D'ÀREA METROPOLITANA FORMACIÓ-OCUP,6,217436.1,217442.1,221441.82
2023,,4642   ,TRANSF CORRENTS D'ÀREA METROPOLITANA COHESIÓ SOCIA,298432,0,298432,18999.88
2023,,4643   ,ALTRES TRANSFERÈNCIES CORRENTS D'ÀREA METROPOLITAN,6,15000,15006,129077.62
2023,,4644   ,TRANSF CORRENTS D'ÀREA METROPOLITANA PLA DE BARRIS,6,372448.74,372454.74,0
2023,,465    ,TRANSFERENCIES CORRENTS ENS COMARCALS             ,55000,21600,76600,129692.45
2023,,467    ,TRANSFERENCIES CORRENTS DE CONSORCIS              ,13431,0,13431,17502.3
2023,,470    ,SUBVENCIONS D'EMPRESES                            ,5000,15000,20000,20000
2023,,480    ,SUBVENCIONS FORMACIÓ I OCUPACIÓ                   ,6,35300,35306,218790.06
2023,,481    ,SUBVENCIONS INSTITUC I FAMIL SENSE ÀNIM DE LUCRE  ,6,0,6,0
2023,,490    ,SUBV. FONS SOCIAL EUROPEU                         ,6,0,6,0
2023,,491    ,TRANSFERENCIA FONS EUROPEU MOVES                  ,6,0,6,0
2023,,514    ,INTERESSOS DE SOCIETATS MERCANTILS                ,169384,0,169384,603451.03
2023,,52     ,INTERESSOS DE DIPÓSITS                            ,6,0,6,1118058.97
2023,,541    ,PRODUCTE ARRENDAMENTS IMMOBLES                    ,90000,0,90000,66689.33
2023,,550    ,CONCESSIONS ADMINISTRATIVES                       ,270000,0,270000,252062.72
2023,,559    ,ALTRES CONCESSIONS I APROFITAMENTS                ,16330,0,16330,48115.97
2023,,740    ,TRANSFERÈNCIA DE CAPITAL PRAT NORD                ,3454490,4505543.07,7960033.07,0
2023,,75030  ,TRANSF CAPITALGENERALITAT DE CATALUNYA-ENSENYAMENT,347735,0,347735,794074.44
2023,,76100  ,TRANSF CAPITAL DIPUTACIÓ DE BARCELONA             ,209813,1500000,1709813,2629658.1
2023,,76102  ,TRANS DE CAPITAL DIPUTACIÓ DE BARCELONA -HABITATGE,6,0,6,0
2023,,764    ,TRANSF CAPITAL AREA METROPOLITANA DE BARCELONA    ,1526168,0,1526168,2969987.66
2023,,82120  ,REINTREGRAMENT PRESTECS SECTOR PUBLIC LOCAL       ,700026,0,700026,1149908.16
2023,,112    ,IMPOST BÉNS IMMOBLES RÚSTICS                      ,9833,0,9833,9831.11
2023,,113    ,IMPOST BÉNS IMMOBLES DE NATURALESA URBANA         ,18700000,0,18700000,19052372.32
2023,,114    ,IMPOST BÉNS IMMOBLES CARACTERÍSTIQUES ESPECIALS   ,40927369,0,40927369,34486680.07
2023,,115    ,IMPOST VEHICLES TRACCIÓ MECÀNICA                  ,2876035,0,2876035,2872461.16
2023,,116    ,IMPOST INCREMENT VALOR DEL TERRENYS               ,1700000,0,1700000,249014.87
2023,,130    ,IMPOST ACTIVITATS ECONÒMIQUES                     ,7600000,0,7600000,8016642.74
2023,,290    ,"IMPOST CONSTRUCCIONS,INSTAL-LACIONS I OBRES       ",1500000,0,1500000,1102793.51
2023,,302    ,TAXA RECOLLIDA BROSSA COMERCIAL                   ,64200,0,64200,70288.72
2023,,30901  ,VIGILÀNCIA ESPECIAL                               ,4271,0,4271,10819.9
2023,,311    ,RESIDÈNCIA D'AVIS                                 ,166000,0,166000,215163.89
2023,,31101  ,TAXA PRESTACIO SERVEIS SOCIALS                    ,140000,0,140000,115712.95
2023,,312    ,ESCOLA BRESSOL                                    ,156000,0,156000,155473.87
2023,,31301  ,CURSETS I ACTIVITATS ESPORTIVES                   ,160000,0,160000,206767.49
2023,,31302  ,INSTAL.LACIONS ESPORTIVES                         ,20000,0,20000,73725.42
2023,,31303  ,SERVEIS ESPORTIUS                                 ,2000000,0,2000000,2202067.63
2023,,31905  ,CONTROL SANITARI GOSSOS                           ,45000,0,45000,52198
2023,,321    ,TAXA LLICÈNCIES D'OBRES                           ,800000,0,800000,650002.56
2023,,323    ,TAXA PERMISOS AMBIENTALS                          ,288809,0,288809,205114.61
2023,,325    ,EXPEDICIÓ DE DOCUMENTS                            ,22868,0,22868,60463.08
2023,,326    ,RETIRADA DE VEHICLES                              ,85000,0,85000,237279.5
2023,,32901  ,MERCAT MUNICIPAL                                  ,28924,0,28924,26271
2023,,32902  ,CONTROL SANITARI D'ESTABLIMENTS                   ,1300,0,1300,1566
2023,,331    ,TAXES GUALS                                       ,660000,0,660000,665301.31
2023,,332    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP SUBMINISTRA,1120000,0,1120000,2873936.98
2023,,333    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP TELECOMUNIC,36000,0,36000,80716.8
2023,,335    ,TAXES VETLLADORS I CADIRES                        ,95000,0,95000,141137.48
2023,,338    ,TAXA COMPENSACIÓ TELEFÒNICA ESPAÑA                ,196000,0,196000,193933.95
2023,,339    ,ALTRES UTILITZACIONS PRIVATIVES DEL DOMINI PUBLIC ,185017,0,185017,90750.29
2023,,33901  ,TAXES QUIOSCOS                                    ,47000,0,47000,64322.35
2023,,33902  ,TAXES PARADES A LA VIA PÚBLICA                    ,25000,0,25000,56677.2
2023,,34901  ,HORTS LÚDICS                                      ,20000,0,20000,23487.84
2023,,34902  ,SERVEIS CULTURALS                                 ,6,50835.69,50841.69,69717.51
2023,,34903  ,SERVEIS CULTURALS TEATRE MODERN                   ,6,2236.36,2242.36,3637.16
2023,,34904  ,SERVEIS PROMOCIO ECONOMICA                        ,9000,0,9000,12578.95
2023,,34905  ,SERVEIS/ACTIVITATS MEDI AMBIENT (ACTIVITATS)      ,18800,0,18800,33606.36
2023,,75060  ,"OTRAS TRANSF DE CAPITAL (ACCESIBILITAT, DIGITAL ) ",0,0,0,70375.86
2023,,39710  ,ALTRES INGRESSOS APROFITAMENTS URBANISTICS        ,0,20646,20646,22196
2023,,39210  ,RECÀRREC EXECUTIU                                 ,0,0,0,60.75
2023,,6191   ,VENDA DE MAQUINARIA                               ,0,0,0,5276
2023,,75002  ,"SERVEIS SOCIALS (RESID AVIS, HOTEL SOCIAL)        ",0,0,0,812225.99
2023,,913    ,PRESTEC A LLARG TERMINI FORA SP                   ,0,2675754.63,2675754.63,0
2023,,72390  ,TRANSF CAPITAL ALTRES SOC MERCANTILS ESTATALS     ,0,0,0,47993.42
